"Code","Description","Condition","Sub-condition"
"14B3.","History of chronic obstructive airway disease","COPD","COPD"
"H3100","Chronic catarrhal bronchitis","COPD","COPD"
"H3121","Emphysematous bronchitis","COPD","COPD"
"H3122","Acute exacerbation of chronic obstructive airways disease","COPD","COPD"
"H3123","Bronchiolitis obliterans","COPD","COPD"
"H313.","Mixed simple and mucopurulent chronic bronchitis","COPD","COPD"
"H31..","Chronic bronchitis","COPD","COPD"
"H31y.","Other chronic bronchitis","COPD","COPD"
"H31yz","Other chronic bronchitis NOS","COPD","COPD"
"H31z.","Chronic bronchitis NOS","COPD","COPD"
"H320.","Chronic bullous emphysema","COPD","COPD"
"H322.","Centrilobular emphysema","COPD","COPD"
"H32..","Emphysema","COPD","COPD"
"H32y2","MacLeod's unilateral emphysema","COPD","COPD"
"H32yz","Other emphysema NOS","COPD","COPD"
"H32z.","Emphysema NOS","COPD","COPD"
"H36..","Mild chronic obstructive pulmonary disease","COPD","COPD"
"H37..","Moderate chronic obstructive pulmonary disease","COPD","COPD"
"H38..","Severe chronic obstructive pulmonary disease","COPD","COPD"
"H39..","Very severe chronic obstructive pulmonary disease","COPD","COPD"
"H3A..","End stage chronic obstructive airways disease","COPD","COPD"
"H3...","Chronic obstructive pulmonary disease","COPD","COPD"
"H3y0.","Chronic obstructive pulmonary disease with acute lower respiratory infection","COPD","COPD"
"H3y1.","Chronic obstructive pulmonary disease with acute exacerbation, unspecified","COPD","COPD"
"H3y..","Other specified chronic obstructive airways disease","COPD","COPD"
"H3z..","Chronic obstructive airways disease NOS","COPD","COPD"
"H5832","Eosinophilic bronchitis","COPD","COPD"
