"Code","Description","Condition","Sub-condition"
"14S2.","H/O: kidney recipient","Chronic renal disease","End stage renal disease"
"14V2.","H/O: renal dialysis","Chronic renal disease","End stage renal disease"
"1Z14.","Chronic kidney disease stage 5","Chronic renal disease","End stage renal disease"
"1Z1K.","Chronic kidney disease stage 5 with proteinuria","Chronic renal disease","End stage renal disease"
"1Z1L.","Chronic kidney disease stage 5 without proteinuria","Chronic renal disease","End stage renal disease"
"7B001","Transplantation of kidney from live donor","Chronic renal disease","End stage renal disease"
"7B002","Transplantation of kidney from cadaver","Chronic renal disease","End stage renal disease"
"7B00.","Transplantation of kidney","Chronic renal disease","End stage renal disease"
"7B00z","Transplantation of kidney NOS","Chronic renal disease","End stage renal disease"
"7B015","Transplant nephrectomy","Chronic renal disease","End stage renal disease"
"7B063","Exploration of renal transplant","Chronic renal disease","End stage renal disease"
"7L1A0","Renal dialysis","Chronic renal disease","End stage renal disease"
"7L1A1","Peritoneal dialysis","Chronic renal disease","End stage renal disease"
"7L1A2","Haemodialysis NEC","Chronic renal disease","End stage renal disease"
"7L1A.","Compensation for renal failure","Chronic renal disease","End stage renal disease"
"7L1B0","Insertion of ambulatory peritoneal dialysis catheter","Chronic renal disease","End stage renal disease"
"7L1B1","Removal of ambulatory peritoneal dialysis catheter","Chronic renal disease","End stage renal disease"
"7L1B.","Placement of ambulatory apparatus for compensation for renal failure","Chronic renal disease","End stage renal disease"
"7L1C0","Insertion of temporary peritoneal dialysis catheter","Chronic renal disease","End stage renal disease"
"K050.","End stage renal failure","Chronic renal disease","End stage renal disease"
"K05..","Chronic renal failure","Chronic renal disease","End stage renal disease"
"K0D..","End-stage renal disease","Chronic renal disease","End stage renal disease"
"SP083","Kidney transplant failure and rejection","Chronic renal disease","End stage renal disease"
"TB001","Transplantation of kidney as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of operation","Chronic renal disease","End stage renal disease"
"ZV420","[V]Kidney transplanted","Chronic renal disease","End stage renal disease"
"ZV451","[V]Renal dialysis status","Chronic renal disease","End stage renal disease"
"ZVu3G","[X]Other dialysis","Chronic renal disease","End stage renal disease"
