"Code","Description","Condition","Sub-condition"
"D3101","Henoch-Schonlein nephritis","Chronic renal disease","Glomerulonephritis"
"G7521","Goodpasture's disease","Chronic renal disease","Glomerulonephritis"
"K000.","Acute proliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K001.","Acute nephritis with lesions of necrotising glomerulitis","Chronic renal disease","Glomerulonephritis"
"K00..","Acute glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K00z.","Acute glomerulonephritis NOS","Chronic renal disease","Glomerulonephritis"
"K010.","Nephrotic syndrome with proliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K011.","Nephrotic syndrome with membranous glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K013.","Nephrotic syndrome with minimal change glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K01..","Nephrotic syndrome","Chronic renal disease","Glomerulonephritis"
"K01x4","Nephrotic syndrome in systemic lupus erythematosus","Chronic renal disease","Glomerulonephritis"
"K01z.","Nephrotic syndrome NOS","Chronic renal disease","Glomerulonephritis"
"K020.","Chronic proliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K021.","Chronic membranous glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K022.","Chronic membranoproliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K02..","Chronic glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K031.","Membranous nephritis unspecified","Chronic renal disease","Glomerulonephritis"
"K0321","Recurrent benign haematuria syndrome","Chronic renal disease","Glomerulonephritis"
"K0326","Berger's IgA or IgG nephropathy","Chronic renal disease","Glomerulonephritis"
"K032y","Nephritis unspecified with other specified lesion of membranoproliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K03U.","Unspecified nephritic syndrome, diffuse concentric glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K03X.","Unspecified nephritic syndrome, diffuse mesangial proliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K03z.","Unspecified glomerulonephritis NOS","Chronic renal disease","Glomerulonephritis"
"K072.","Glomerulosclerosis","Chronic renal disease","Glomerulonephritis"
"K0A07","Acute nephritic syndrome, diffuse crescentic glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K0A17","Rapidly progressive nephritic syndrome, diffuse crescentic glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K0A23","Recurrent and persistent haematuria, diffuse mesangial proliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K0A28","IgA nephropathy","Chronic renal disease","Glomerulonephritis"
"K0A2.","Recurrent and persistent haematuria","Chronic renal disease","Glomerulonephritis"
"K0A37","Chronic nephritic syndrome, diffuse crescentic glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K0A43","Isolated proteinuria with specified morphological lesion, diffuse mesangial proliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K0A..","Glomerular disease","Chronic renal disease","Glomerulonephritis"
