"Code","Description","Condition","Sub-condition"
"662o.","Haemorrhagic stroke monitoring","Stroke","Intracerebral haemorrhage"
"70043","Evacuation of intracerebral haematoma NEC","Stroke","Intracerebral haemorrhage"
"G610.","Cortical haemorrhage","Stroke","Intracerebral haemorrhage"
"G611.","Internal capsule haemorrhage","Stroke","Intracerebral haemorrhage"
"G612.","Basal nucleus haemorrhage","Stroke","Intracerebral haemorrhage"
"G613.","Cerebellar haemorrhage","Stroke","Intracerebral haemorrhage"
"G614.","Pontine haemorrhage","Stroke","Intracerebral haemorrhage"
"G617.","Intracerebral haemorrhage, intraventricular","Stroke","Intracerebral haemorrhage"
"G619.","Lobar cerebral haemorrhage","Stroke","Intracerebral haemorrhage"
"G61..","Intracerebral haemorrhage","Stroke","Intracerebral haemorrhage"
"G61X0","Left sided intracerebral haemorrhage, unspecified","Stroke","Intracerebral haemorrhage"
"G61X1","Right sided intracerebral haemorrhage, unspecified","Stroke","Intracerebral haemorrhage"
"G61X.","Intracerebral haemorrhage in hemisphere, unspecified","Stroke","Intracerebral haemorrhage"
"G61z.","Intracerebral haemorrhage NOS","Stroke","Intracerebral haemorrhage"
"G682.","Sequelae of other nontraumatic intracranial haemorrhage","Stroke","Intracerebral haemorrhage"
"Gyu6F","[X]Intracerebral haemorrhage in hemisphere, unspecified","Stroke","Intracerebral haemorrhage"
