"Code","Description","Condition","Sub-condition"
"G63..","Precerebral arterial occlusion","Stroke","Ischaemic stroke"
"G63y0","Cerebral infarct due to thrombosis of precerebral arteries","Stroke","Ischaemic stroke"
"G63y1","Cerebral infarction due to embolism of precerebral arteries","Stroke","Ischaemic stroke"
"G6400","Cerebral infarction due to thrombosis of cerebral arteries","Stroke","Ischaemic stroke"
"G640.","Cerebral thrombosis","Stroke","Ischaemic stroke"
"G6410","Cerebral infarction due to embolism of cerebral arteries","Stroke","Ischaemic stroke"
"G641.","Cerebral embolism","Stroke","Ischaemic stroke"
"G64..","Cerebral arterial occlusion","Stroke","Ischaemic stroke"
"G64z0","Brainstem infarction","Stroke","Ischaemic stroke"
"G64z1","Wallenberg syndrome","Stroke","Ischaemic stroke"
"G64z2","Left sided cerebral infarction","Stroke","Ischaemic stroke"
"G64z3","Right sided cerebral infarction","Stroke","Ischaemic stroke"
"G64z4","Infarction of basal ganglia","Stroke","Ischaemic stroke"
"G64z.","Cerebral infarction NOS","Stroke","Ischaemic stroke"
"G6W..","Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries","Stroke","Ischaemic stroke"
"G6X..","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","Stroke","Ischaemic stroke"
"Gyu63","[X]Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","Stroke","Ischaemic stroke"
"Gyu64","[X]Other cerebral infarction","Stroke","Ischaemic stroke"
