"Code","Description","Condition","Sub-condition"
"666A.","Multiple sclerosis review","Multiple sclerosis","Multiple sclerosis"
"666B.","Multiple sclerosis multidisciplinary review","Multiple sclerosis","Multiple sclerosis"
"8Cc2.","Management of multiple sclerosis in stable disability phase","Multiple sclerosis","Multiple sclerosis"
"8Cc4.","Management of multiple sclerosis in palliative phase","Multiple sclerosis","Multiple sclerosis"
"8CS1.","Multiple sclerosis care plan agreed","Multiple sclerosis","Multiple sclerosis"
"8IAb.","Multiple sclerosis review declined","Multiple sclerosis","Multiple sclerosis"
"9mD0.","Multiple sclerosis monitoring first letter","Multiple sclerosis","Multiple sclerosis"
"9mD..","Multiple sclerosis monitoring administration","Multiple sclerosis","Multiple sclerosis"
"F202.","Generalised multiple sclerosis","Multiple sclerosis","Multiple sclerosis"
"F203.","Exacerbation of multiple sclerosis","Multiple sclerosis","Multiple sclerosis"
"F206.","Primary progressive multiple sclerosis","Multiple sclerosis","Multiple sclerosis"
"F207.","Relapsing and remitting multiple sclerosis","Multiple sclerosis","Multiple sclerosis"
"F208.","Secondary progressive multiple sclerosis","Multiple sclerosis","Multiple sclerosis"
"F20..","Multiple sclerosis","Multiple sclerosis","Multiple sclerosis"
"F20z.","Multiple sclerosis NOS","Multiple sclerosis","Multiple sclerosis"
