"Code","Description","Condition","Sub-condition"
"B601.","Lymphosarcoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B602.","Burkitt's lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B60z.","Reticulosarcoma or lymphosarcoma NOS","Haematological malignancies","Non-Hodgkin Lymphoma"
"B6200","Nodular lymphoma of unspecified site","Haematological malignancies","Non-Hodgkin Lymphoma"
"B620z","Nodular lymphoma NOS","Haematological malignancies","Non-Hodgkin Lymphoma"
"B621.","Mycosis fungoides","Haematological malignancies","Non-Hodgkin Lymphoma"
"B6270","Follicular non-Hodgkin's small cleaved cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B6272","Follicular non-Hodgkin's large cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B6277","Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B6279","Mucosa-associated lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B627A","Diffuse non-Hodgkin's large cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B627.","Non - Hodgkin's lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B627C","Follicular non-Hodgkin's lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B627E","Diffuse large B-cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B627G","Mediastinal (thymic) large B-cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B627W","Unspecified B-cell non-Hodgkin's lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B627X","Diffuse non-Hodgkin's lymphoma, unspecified","Haematological malignancies","Non-Hodgkin Lymphoma"
"B6280","Follicular lymphoma grade 1","Haematological malignancies","Non-Hodgkin Lymphoma"
"B6281","Follicular lymphoma grade 2","Haematological malignancies","Non-Hodgkin Lymphoma"
"B628.","Follicular lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B62E1","Anaplastic large cell lymphoma, ALK-positive","Haematological malignancies","Non-Hodgkin Lymphoma"
"B62E3","Cutaneous T-cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B62E4","Extranodal NK/T-cell lymphoma, nasal type","Haematological malignancies","Non-Hodgkin Lymphoma"
"B62E6","Enteropathy-associated T-cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B62E9","Angioimmunoblastic T-cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B62F0","Small cell B-cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B62F1","Mantle cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"B62x.","Malignant lymphoma otherwise specified","Haematological malignancies","Non-Hodgkin Lymphoma"
"B62xX","Other and unspecified peripheral and cutaneous T-cell lymphomas","Haematological malignancies","Non-Hodgkin Lymphoma"
"B62y.","Malignant lymphoma NOS","Haematological malignancies","Non-Hodgkin Lymphoma"
"B62yz","Malignant lymphoma NOS","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBg10","[M]Malignant lymphoma, diffuse NOS","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBg1.","[M]Malignant lymphoma NOS","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBg2.","[M]Malignant lymphoma, non Hodgkin's type","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBg7.","[M]Malignant lymphoma, lymphoplasmacytoid type","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBg..","[M]Lymphomas, NOS or diffuse","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBgC.","[M]Malignant lymphoma, lymphocytic, well differentiated NOS","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBgL.","[M]Malignant lymphoma, small lymphocytic NOS","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBgR.","[M]Malignant lymphoma, large cell, diffuse NOS","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBgz.","[M]Lymphoma, diffuse or NOS","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBk0.","[M]Malignant lymphoma, nodular NOS","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBk..","[M]Lymphomas, nodular or follicular","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBl..","[M]Mycosis fungoides","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBm8.","[M] Angioimmunoblastic lymphadenopathy","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBm9.","[M] Monocytoid B-cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBmD.","[M] Cutaneous lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"BBmH.","[M] Large cell lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"ByuD2","[X]Other types of diffuse non-Hodgkin's lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"ByuD3","[X]Other specified types of non-Hodgkin's lymphoma","Haematological malignancies","Non-Hodgkin Lymphoma"
"ByuDF","[X]Non-Hodgkin's lymphoma, unspecified type","Haematological malignancies","Non-Hodgkin Lymphoma"
"M1628","Lymphomatoid papulosis","Haematological malignancies","Non-Hodgkin Lymphoma"
