"Code","Description","Condition","Sub-condition"
"14G2.","H/O: osteoarthritis","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"2G26.","O/E - hands - Heberden's nodes","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"7P204","Delivery of rehabilitation for osteoarthritis","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0500","Generalised osteoarthritis of unspecified site","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0501","Generalised osteoarthritis of the hand","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0502","Generalised osteoarthritis of multiple sites","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0503","Bouchard's nodes with arthropathy","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0504","Primary generalized osteoarthrosis","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0506","Erosive osteoarthrosis","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0507","Heberden's nodes with arthropathy","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N050.","Generalised osteoarthritis - OA","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N050z","Generalised osteoarthritis NOS","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0511","Localised, primary osteoarthritis of the shoulder region","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0512","Localised, primary osteoarthritis of the upper arm","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0513","Localised, primary osteoarthritis of the forearm","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0514","Localised, primary osteoarthritis of the hand","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0515","Localised, primary osteoarthritis of the pelvic region and thigh","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0516","Localised, primary osteoarthritis of the lower leg","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0517","Localised, primary osteoarthritis of the ankle and foot","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0518","Localised, primary osteoarthritis of other specified site","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051B","Primary gonarthrosis, bilateral","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051C","Primary arthrosis of first carpometacarpal joints, bilateral","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051D","Localised, primary osteoarthritis of the wrist","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051E","Localised, primary osteoarthritis of toe","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051F","Localised, primary osteoarthritis of elbow","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051G","Osteoarthritis of spinal facet joint","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051.","Localised, primary osteoarthritis","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051z","Localised, primary osteoarthritis NOS","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0521","Localised, secondary osteoarthritis of the shoulder region","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0524","Localised, secondary osteoarthritis of the hand","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0525","Localised, secondary osteoarthritis of the pelvic region and thigh","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0526","Localised, secondary osteoarthritis of the lower leg","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0527","Localised, secondary osteoarthritis of the ankle and foot","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0528","Localised, secondary osteoarthritis of other specified site","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N052.","Localised, secondary osteoarthritis","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N052z","Localised, secondary osteoarthritis NOS","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0530","Localised osteoarthritis, unspecified, of unspecified site","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0531","Localised osteoarthritis, unspecified, of the shoulder region","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0534","Localised osteoarthritis, unspecified, of the hand","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0535","Localised osteoarthritis, unspecified, of the pelvic region and thigh","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0536","Localised osteoarthritis, unspecified, of the lower leg","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0537","Localised osteoarthritis, unspecified, of the ankle and foot","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0538","Localised osteoarthritis, unspecified, of other specified site","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0539","Arthrosis of first carpometacarpal joint, unspecified","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N053.","Localised osteoarthritis, unspecified","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N053z","Localised osteoarthritis, unspecified, NOS","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0545","Oligoarticular osteoarthritis, unspecified, of the pelvic region and thigh","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N054.","Oligoarticular osteoarthritis, unspecified","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N05..","Osteoarthritis and allied disorders","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
