"Code","Description","Condition","Sub-condition"
"14G1.","H/O: rheumatoid arthritis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"2G27.","O/E-hands-rheumatoid spindling","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"9mM0.","Rheumatoid arthritis monitoring invitation first letter","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"9mM1.","Rheumatoid arthritis monitoring invitation second letter","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"9mM2.","Rheumatoid arthritis monitoring invitation third letter","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"9mM3.","Rheumatoid arthritis monitoring verbal invitation","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"9mM4.","Rheumatoid arthritis monitoring telephone invitation","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"9mM..","Rheumatoid arthritis monitoring invitation","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"F3964","Myopathy due to rheumatoid arthritis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"H570.","Rheumatoid lung","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N0402","Rheumatoid arthritis of shoulder","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N0405","Rheumatoid arthritis of elbow","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N0408","Rheumatoid arthritis of metacarpophalangeal joint","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N0409","Rheumatoid arthritis of proximal interphalangeal joint of finger","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N040D","Rheumatoid arthritis of knee","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N040G","Rheumatoid arthritis of subtalar joint","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N040.","Rheumatoid arthritis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N040N","Rheumatoid vasculitis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N040P","Seronegative rheumatoid arthritis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N040Q","Rheumatoid bursitis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N040R","Rheumatoid nodule","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N040S","Rheumatoid arthritis - multiple joint","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N040T","Flare of rheumatoid arthritis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N041.","Felty's syndrome","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N0422","Rheumatoid nodule","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N047.","Seropositive errosive rheumatoid arthritis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N04..","Rheumatoid arthritis and other inflammatory polyarthropathies","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N04X.","Seropositive rheumatoid arthritis, unspecified","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N04y0","Rheumatoid lung","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N04y2","Adult-onset Still's disease","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"N005.","Adult Still's Disease","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"Nyu12","[X]Other specified rheumatoid arthritis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
