"Code","Description","Condition","Sub-condition"
"14A7.","H/O: CVA/stroke","Stroke","Stroke NOS"
"662e.","Stroke/CVA annual review","Stroke","Stroke NOS"
"662M.","Stroke monitoring","Stroke","Stroke NOS"
"7P242","Delivery of rehabilitation for stroke","Stroke","Stroke NOS"
"8HHM.","Referral to multidisciplinary stroke function improvement service","Stroke","Stroke NOS"
"9h21.","Excepted from stroke quality indicators: Patient unsuitable","Stroke","Stroke NOS"
"9h22.","Excepted from stroke quality indicators: Informed dissent","Stroke","Stroke NOS"
"9h2..","Exception reporting: stroke quality indicators","Stroke","Stroke NOS"
"Fyu56","[X]Other lacunar syndromes","Stroke","Stroke NOS"
"G663.","Brain stem stroke syndrome","Stroke","Stroke NOS"
"G664.","Cerebellar stroke syndrome","Stroke","Stroke NOS"
"G665.","Pure motor lacunar syndrome","Stroke","Stroke NOS"
"G666.","Pure sensory lacunar syndrome","Stroke","Stroke NOS"
"G667.","Left sided CVA","Stroke","Stroke NOS"
"G668.","Right sided CVA","Stroke","Stroke NOS"
"G66..","Stroke and cerebrovascular accident unspecified","Stroke","Stroke NOS"
"G68X.","Sequelae of stroke, not specified as haemorrhage or infarction","Stroke","Stroke NOS"
