"Code","Description","Condition","Sub-condition"
"1411.","H/O: tuberculosis","Tuberculosis","Tuberculosis"
"14P9.","History of tuberculosis drug therapy","Tuberculosis","Tuberculosis"
"65V9.","Notification of tuberculosis","Tuberculosis","Tuberculosis"
"65Y9.","Inactive tuberculosis","Tuberculosis","Tuberculosis"
"A100.","Primary tuberculous complex","Tuberculosis","Tuberculosis"
"A10..","Primary tuberculous infection","Tuberculosis","Tuberculosis"
"A10z.","Primary tuberculous infection NOS","Tuberculosis","Tuberculosis"
"A111.","Nodular lung tuberculosis","Tuberculosis","Tuberculosis"
"A114.","Tuberculous fibrosis of lung","Tuberculosis","Tuberculosis"
"A115.","Tuberculous bronchiectasis","Tuberculosis","Tuberculosis"
"A116.","Tuberculous pneumonia","Tuberculosis","Tuberculosis"
"A11..","Pulmonary tuberculosis","Tuberculosis","Tuberculosis"
"A11y.","Other specified pulmonary tuberculosis","Tuberculosis","Tuberculosis"
"A11z.","Pulmonary tuberculosis NOS","Tuberculosis","Tuberculosis"
"A1200","Tuberculosis of pleura","Tuberculosis","Tuberculosis"
"A120z","Tuberculous pleurisy NOS","Tuberculosis","Tuberculosis"
"A1210","Tuberculosis of hilar lymph nodes","Tuberculosis","Tuberculosis"
"A123.","Tuberculous laryngitis","Tuberculosis","Tuberculosis"
"A1243","Tuberculosis of lung, confirmed by unspecified means","Tuberculosis","Tuberculosis"
"A1247","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Tuberculosis","Tuberculosis"
"A124.","Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberculosis","Tuberculosis"
"A1252","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation","Tuberculosis","Tuberculosis"
"A125.","Respiratory tuberculosis, not confirmed bacteriologically or histologically","Tuberculosis","Tuberculosis"
"A12..","Other respiratory tuberculosis","Tuberculosis","Tuberculosis"
"A1303","Tuberculous meningoencephalitis","Tuberculosis","Tuberculosis"
"A130.","Tuberculous meningitis","Tuberculosis","Tuberculosis"
"A130z","Tuberculous meningitis NOS","Tuberculosis","Tuberculosis"
"A13..","Tuberculosis of meninges and central nervous system","Tuberculosis","Tuberculosis"
"A13z.","Tuberculosis of central nervous system NOS","Tuberculosis","Tuberculosis"
"A140.","Tuberculous peritonitis","Tuberculosis","Tuberculosis"
"A151.","Tuberculosis of hip","Tuberculosis","Tuberculosis"
"A152.","Tuberculosis of knee","Tuberculosis","Tuberculosis"
"A15z.","Tuberculosis of bones or joints NOS","Tuberculosis","Tuberculosis"
"A160.","Tuberculosis of kidney","Tuberculosis","Tuberculosis"
"A161.","Tuberculosis of bladder","Tuberculosis","Tuberculosis"
"A164.","Tuberculosis of epididymis","Tuberculosis","Tuberculosis"
"A1652","Tuberculosis of testis","Tuberculosis","Tuberculosis"
"A1671","Tuberculous endometritis","Tuberculosis","Tuberculosis"
"A168.","Tuberculosis of urinary tract","Tuberculosis","Tuberculosis"
"A16..","Tuberculosis of genitourinary system","Tuberculosis","Tuberculosis"
"A16z.","Genitourinary tuberculosis NOS","Tuberculosis","Tuberculosis"
"A1701","Tuberculosis - lupus vulgaris","Tuberculosis","Tuberculosis"
"A170.","Tuberculosis of skin and subcutaneous tissue","Tuberculosis","Tuberculosis"
"A1711","Tuberculous erythema nodosum","Tuberculosis","Tuberculosis"
"A171.","Tuberculosis with erythema nodosum hypersensitivity reaction","Tuberculosis","Tuberculosis"
"A171z","Erythema nodosum with tuberculosis NOS","Tuberculosis","Tuberculosis"
"A1720","Tuberculous - cervical lymphadenitis","Tuberculosis","Tuberculosis"
"A1722","Tuberculous adenitis","Tuberculosis","Tuberculosis"
"A172.","Tuberculosis of peripheral lymph nodes","Tuberculosis","Tuberculosis"
"A1731","Tuberculous episcleritis","Tuberculosis","Tuberculosis"
"A173.","Tuberculosis of eye","Tuberculosis","Tuberculosis"
"A1800","Acute miliary tuberculosis of a single specified site","Tuberculosis","Tuberculosis"
"A1...","Tuberculosis","Tuberculosis","Tuberculosis"
"A1y..","Other specified tuberculosis","Tuberculosis","Tuberculosis"
"A1z..","Tuberculosis NOS","Tuberculosis","Tuberculosis"
"AE00.","Late effects of respiratory tuberculosis","Tuberculosis","Tuberculosis"
"Ayu13","[X]Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Tuberculosis","Tuberculosis"
"Ayu1.","[X]Tuberculosis","Tuberculosis","Tuberculosis"
"F004.","Meningitis - tuberculous","Tuberculosis","Tuberculosis"
"N018.","Tuberculous arthritis","Tuberculosis","Tuberculosis"
"N3042","Tuberculosis of lumbar spine","Tuberculosis","Tuberculosis"
"N304.","Tuberculosis of spine (Pott's)","Tuberculosis","Tuberculosis"
"N306.","Tuberculosis of other bones","Tuberculosis","Tuberculosis"
"ZV12A","[V] Personal history of pulmonary tuberculosis","Tuberculosis","Tuberculosis"
"ZV12B","[V] Personal history of tuberculosis","Tuberculosis","Tuberculosis"
