"Code","Description","Condition","Sub-condition"
"14AB0","H/O amaurosis fugax","Transient ischaemic attack","Transient ischaemic attack"
"14AB.","H/O: TIA","Transient ischaemic attack","Transient ischaemic attack"
"1B1S.","Transient global amnesia","Transient ischaemic attack","Transient ischaemic attack"
"8CRB.","Transient ischaemic attack clinical management plan","Transient ischaemic attack","Transient ischaemic attack"
"F4236","Amaurosis fugax","Transient ischaemic attack","Transient ischaemic attack"
"G655.","Transient global amnesia","Transient ischaemic attack","Transient ischaemic attack"
"G656.","Vertebrobasilar insufficiency","Transient ischaemic attack","Transient ischaemic attack"
"G657.","Carotid territory transient ischaemic attack","Transient ischaemic attack","Transient ischaemic attack"
"G65..","Transient cerebral ischaemia","Transient ischaemic attack","Transient ischaemic attack"
"G65y.","Other transient cerebral ischaemia","Transient ischaemic attack","Transient ischaemic attack"
"G65z.","Transient cerebral ischaemia NOS","Transient ischaemic attack","Transient ischaemic attack"
"G65zz","Transient cerebral ischaemia NOS","Transient ischaemic attack","Transient ischaemic attack"
"Z7CE7","Transient global amnesia","Transient ischaemic attack","Transient ischaemic attack"
"ZV12D","[V]Personal history of transient ischaemic attack","Transient ischaemic attack","Transient ischaemic attack"
