"Code","Description","Condition","Sub-condition"
"136S.","Hazardous alcohol use","Alcohol Problems","Alcohol Problems"
"136T.","Harmful alcohol use","Alcohol Problems","Alcohol Problems"
"136W.","Alcohol misuse","Alcohol Problems","Alcohol Problems"
"1462.","H/O: alcoholism","Alcohol Problems","Alcohol Problems"
"1B1c.","Alcohol induced hallucinations","Alcohol Problems","Alcohol Problems"
"66e0.","Alcohol abuse monitoring","Alcohol Problems","Alcohol Problems"
"66e..","Alcohol disorder monitoring","Alcohol Problems","Alcohol Problems"
"7P221","Delivery of rehabilitation for alcohol addiction","Alcohol Problems","Alcohol Problems"
"8BA8.","Alcohol detoxification","Alcohol Problems","Alcohol Problems"
"8CAv.","Advised to contact primary care alcohol worker","Alcohol Problems","Alcohol Problems"
"8G32.","Aversion therapy - alcoholism","Alcohol Problems","Alcohol Problems"
"8H35.","Admitted to alcohol detoxification centre","Alcohol Problems","Alcohol Problems"
"8H7p.","Referral to community alcohol team","Alcohol Problems","Alcohol Problems"
"8HkG.","Referral to specialist alcohol treatment service","Alcohol Problems","Alcohol Problems"
"8HkJ.","Referral to alcohol brief intervention service","Alcohol Problems","Alcohol Problems"
"9k12.","Alcohol misuse - enhanced service completed","Alcohol Problems","Alcohol Problems"
"9k1..","Alcohol misuse - enhanced services administration","Alcohol Problems","Alcohol Problems"
"9k1A.","Brief intervention for excessive alcohol consumption completed","Alcohol Problems","Alcohol Problems"
"9k1B.","Extended intervention for excessive alcohol consumption completed","Alcohol Problems","Alcohol Problems"
"9NN2.","Under care of community alcohol team","Alcohol Problems","Alcohol Problems"
"C251.","Other and unspecified thiamine (vitamin B1) deficiency states","Alcohol Problems","Alcohol Problems"
"C253.","Wernicke's encephalopathy","Alcohol Problems","Alcohol Problems"
"E010.","Alcohol withdrawal delirium","Alcohol Problems","Alcohol Problems"
"E0110","Korsakov's alcoholic psychosis","Alcohol Problems","Alcohol Problems"
"E0120","Chronic alcoholic brain syndrome","Alcohol Problems","Alcohol Problems"
"E012.","Other alcoholic dementia","Alcohol Problems","Alcohol Problems"
"E013.","Alcohol withdrawal hallucinosis","Alcohol Problems","Alcohol Problems"
"E01..","Alcoholic psychoses","Alcohol Problems","Alcohol Problems"
"E01y0","Alcohol withdrawal syndrome","Alcohol Problems","Alcohol Problems"
"E01y.","Other alcoholic psychosis","Alcohol Problems","Alcohol Problems"
"E2301","Continuous acute alcoholic intoxication in alcoholism","Alcohol Problems","Alcohol Problems"
"E230.","Acute alcoholic intoxication in alcoholism","Alcohol Problems","Alcohol Problems"
"E2311","Continuous chronic alcoholism","Alcohol Problems","Alcohol Problems"
"E2312","Episodic chronic alcoholism","Alcohol Problems","Alcohol Problems"
"E2313","Chronic alcoholism in remission","Alcohol Problems","Alcohol Problems"
"E231.","Chronic alcoholism","Alcohol Problems","Alcohol Problems"
"E231z","Chronic alcoholism NOS","Alcohol Problems","Alcohol Problems"
"E23..","Alcohol dependence syndrome","Alcohol Problems","Alcohol Problems"
"E23z.","Alcohol dependence syndrome NOS","Alcohol Problems","Alcohol Problems"
"Eu101","[X]Mental and behavioural disorders due to use of alcohol: harmful use","Alcohol Problems","Alcohol Problems"
"Eu102","[X]Mental and behavioural disorders due to use of alcohol: dependence syndrome","Alcohol Problems","Alcohol Problems"
"Eu103","[X]Mental and behavioural disorders due to use of alcohol: withdrawal state","Alcohol Problems","Alcohol Problems"
"Eu104","[X]Mental and behavioural disorders due to use of alcohol: withdrawal state with delirium","Alcohol Problems","Alcohol Problems"
"Eu105","[X]Mental and behavioural disorders due to use of alcohol: psychotic disorder","Alcohol Problems","Alcohol Problems"
"Eu106","[X]Mental and behavioural disorders due to use of alcohol: amnesic syndrome","Alcohol Problems","Alcohol Problems"
"Eu107","[X]Mental and behavioural disorders due to use of alcohol: residual and late-onset psychotic disorder","Alcohol Problems","Alcohol Problems"
"Eu108","[X]Alcohol withdrawal-induced seizure","Alcohol Problems","Alcohol Problems"
"Eu10.","[X]Mental and behavioural disorders due to use of alcohol","Alcohol Problems","Alcohol Problems"
"F11x0","Cerebral degeneration due to alcoholism","Alcohol Problems","Alcohol Problems"
"F1440","Cerebellar ataxia due to alcoholism","Alcohol Problems","Alcohol Problems"
"G555.","Alcoholic cardiomyopathy","Alcohol Problems","Alcohol Problems"
"G8523","Oesophageal varices in alcoholic cirrhosis of the liver","Alcohol Problems","Alcohol Problems"
"J153.","Alcoholic gastritis","Alcohol Problems","Alcohol Problems"
"J610.","Alcoholic fatty liver","Alcohol Problems","Alcohol Problems"
"J611.","Acute alcoholic hepatitis","Alcohol Problems","Alcohol Problems"
"J6120","Alcoholic fibrosis and sclerosis of liver","Alcohol Problems","Alcohol Problems"
"J612.","Alcoholic cirrhosis of liver","Alcohol Problems","Alcohol Problems"
"J613.","Alcoholic liver damage unspecified","Alcohol Problems","Alcohol Problems"
"J6170","Chronic alcoholic hepatitis","Alcohol Problems","Alcohol Problems"
"J617.","Alcoholic hepatitis","Alcohol Problems","Alcohol Problems"
"J6710","Alcohol-induced chronic pancreatitis","Alcohol Problems","Alcohol Problems"
"Z4B1.","Alcoholism counselling","Alcohol Problems","Alcohol Problems"
"ZV113","[V]Personal history of alcoholism","Alcohol Problems","Alcohol Problems"
"ZV57A","[V]Alcohol rehabilitation","Alcohol Problems","Alcohol Problems"
"ZV6D6","[V]Alcohol abuse counselling and surveillance","Alcohol Problems","Alcohol Problems"
