"Code","Description","Condition","Sub-condition"
"14B1.","H/O: hay fever","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H1200","Chronic simple rhinitis","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H1201","Chronic catarrhal rhinitis","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H1202","Chronic hypertrophic rhinitis","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H1204","Chronic infective rhinitis","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H1205","Chronic ulcerative rhinitis","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H1206","Chronic membranous rhinitis","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H120.","Chronic rhinitis","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H120z","Chronic rhinitis NOS","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H13..","Chronic sinusitis","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H170.","Allergic rhinitis due to pollens","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H1710","Allergy to animal","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H1711","Dog allergy","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H171.","Allergic rhinitis due to other allergens","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H172.","Allergic rhinitis due to unspecified allergen","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H17..","Allergic rhinitis","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H17z.","Allergic rhinitis NOS","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"H18..","Vasomotor rhinitis","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
"Hyu20","[X]Other seasonal allergic rhinitis","Allergic and chronic rhinitis","Allergic and chronic rhinitis"
