"Code","Description","Condition","Sub-condition"
"1466.","H/O: anxiety state","Anxiety disorders","Anxiety disorders"
"146G.","H/O: agoraphobia","Anxiety disorders","Anxiety disorders"
"1B1V.","C/O - panic attack","Anxiety disorders","Anxiety disorders"
"1Bb..","Specific fear","Anxiety disorders","Anxiety disorders"
"225J.","O/E - panic attack","Anxiety disorders","Anxiety disorders"
"8G94.","Anxiety management training","Anxiety disorders","Anxiety disorders"
"8HHp.","Referral for guided self-help for anxiety","Anxiety disorders","Anxiety disorders"
"E2000","Anxiety state unspecified","Anxiety disorders","Anxiety disorders"
"E2001","Panic disorder","Anxiety disorders","Anxiety disorders"
"E2002","Generalised anxiety disorder","Anxiety disorders","Anxiety disorders"
"E2003","Anxiety with depression","Anxiety disorders","Anxiety disorders"
"E2004","Chronic anxiety","Anxiety disorders","Anxiety disorders"
"E2005","Recurrent anxiety","Anxiety disorders","Anxiety disorders"
"E200.","Anxiety states","Anxiety disorders","Anxiety disorders"
"E200z","Anxiety state NOS","Anxiety disorders","Anxiety disorders"
"E2020","Phobia unspecified","Anxiety disorders","Anxiety disorders"
"E2021","Agoraphobia with panic attacks","Anxiety disorders","Anxiety disorders"
"E2022","Agoraphobia without mention of panic attacks","Anxiety disorders","Anxiety disorders"
"E2023","Social phobia, fear of eating in public","Anxiety disorders","Anxiety disorders"
"E2024","Social phobia, fear of public speaking","Anxiety disorders","Anxiety disorders"
"E2027","Animal phobia","Anxiety disorders","Anxiety disorders"
"E2028","Claustrophobia","Anxiety disorders","Anxiety disorders"
"E2029","Fear of crowds","Anxiety disorders","Anxiety disorders"
"E202A","Fear of flying","Anxiety disorders","Anxiety disorders"
"E202B","Cancer phobia","Anxiety disorders","Anxiety disorders"
"E202C","Dental phobia","Anxiety disorders","Anxiety disorders"
"E202D","Fear of death","Anxiety disorders","Anxiety disorders"
"E202.","Phobic disorders","Anxiety disorders","Anxiety disorders"
"E20..","Neurotic disorders","Anxiety disorders","Anxiety disorders"
"E20y1","Writer's cramp neurosis","Anxiety disorders","Anxiety disorders"
"E20y.","Other neurotic disorders","Anxiety disorders","Anxiety disorders"
"E20yz","Other neurotic disorder NOS","Anxiety disorders","Anxiety disorders"
"Eu400","[X]Agoraphobia","Anxiety disorders","Anxiety disorders"
"Eu401","[X]Social phobias","Anxiety disorders","Anxiety disorders"
"Eu402","[X]Specific (isolated) phobias","Anxiety disorders","Anxiety disorders"
"Eu403","[X]Needle phobia","Anxiety disorders","Anxiety disorders"
"Eu40.","[X]Phobic anxiety disorders","Anxiety disorders","Anxiety disorders"
"Eu40y","[X]Other phobic anxiety disorders","Anxiety disorders","Anxiety disorders"
"Eu40z","[X]Phobic anxiety disorder, unspecified","Anxiety disorders","Anxiety disorders"
"Eu410","[X]Panic disorder [episodic paroxysmal anxiety]","Anxiety disorders","Anxiety disorders"
"Eu411","[X]Generalized anxiety disorder","Anxiety disorders","Anxiety disorders"
"Eu412","[X]Mixed anxiety and depressive disorder","Anxiety disorders","Anxiety disorders"
"Eu413","[X]Other mixed anxiety disorders","Anxiety disorders","Anxiety disorders"
"Eu41.","[X]Other anxiety disorders","Anxiety disorders","Anxiety disorders"
"Eu41y","[X]Other specified anxiety disorders","Anxiety disorders","Anxiety disorders"
"Z4L1.","Anxiety counselling","Anxiety disorders","Anxiety disorders"
