"Code","Description","Condition","Sub-condition"
"14B4.","H/O: asthma","Asthma","Asthma"
"173A.","Exercise induced asthma","Asthma","Asthma"
"173c.","Occupational asthma","Asthma","Asthma"
"173d.","Work aggravated asthma","Asthma","Asthma"
"1780.","Aspirin induced asthma","Asthma","Asthma"
"1O2..","Asthma confirmed","Asthma","Asthma"
"21262","Asthma resolved","Asthma","Asthma"
"212G.","Asthma resolved","Asthma","Asthma"
"H3120","Chronic asthmatic bronchitis","Asthma","Asthma"
"H3300","Extrinsic asthma without status asthmaticus","Asthma","Asthma"
"H3301","Extrinsic asthma with status asthmaticus","Asthma","Asthma"
"H330.","Extrinsic (atopic) asthma","Asthma","Asthma"
"H330z","Extrinsic asthma NOS","Asthma","Asthma"
"H3310","Intrinsic asthma without status asthmaticus","Asthma","Asthma"
"H3311","Intrinsic asthma with status asthmaticus","Asthma","Asthma"
"H331.","Intrinsic asthma","Asthma","Asthma"
"H331z","Intrinsic asthma NOS","Asthma","Asthma"
"H332.","Mixed asthma","Asthma","Asthma"
"H333.","Acute exacerbation of asthma","Asthma","Asthma"
"H334.","Brittle asthma","Asthma","Asthma"
"H335.","Chronic asthma with fixed airflow obstruction","Asthma","Asthma"
"H33..","Asthma","Asthma","Asthma"
"H33z0","Status asthmaticus NOS","Asthma","Asthma"
"H33z1","Asthma attack","Asthma","Asthma"
"H33z2","Late-onset asthma","Asthma","Asthma"
"H33z.","Asthma unspecified","Asthma","Asthma"
"H33zz","Asthma NOS","Asthma","Asthma"
