"Code","Description","Condition","Sub-condition"
"1452.","H/O: Anaemia vit.B12 deficient","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"66E1.","B12 defic. initial assessment","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"66E2.","B12 defic.follow-up assessment","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"66E3.","B12 injections started","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"66E4.","B12 injections - at home","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"66E5.","B12 injections - at surgery","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"66E..","B12 deficiency monitoring","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"C2621","Vitamin B12 deficiency","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"D010.","Pernicious anaemia","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"D0110","Vitamin B12 deficiency anaemia due to dietary causes","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"D0111","Vitamin B12 deficiency anaemia due to malabsorption with proteinuria","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"D011.","Other vitamin B12 deficiency anaemias","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"D011X","Vitamin B12 deficiency anaemia, unspecified","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"D0130","Combined B12 and folate deficiency anaemia","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"Dyu06","[X]Vitamin B12 deficiency anaemia, unspecified","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
"F162.","Subacute combined degeneration of spinal cord","Iron and vitamin deficiency anaemia","Vitamin B12 deficiency anaemia"
