"Code","Description","Condition","Sub-condition"
"B7F00","Benign neoplasm of brain, supratentorial","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F0.","Benign neoplasm of brain","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F10","Acoustic neuroma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F1.","Benign neoplasm of cranial nerves","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F20","Cerebral meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F2.","Benign neoplasm of cerebral meninges","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F40","Spinal meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F..","Benign neoplasm of brain and other parts of nervous system","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7FX.","Benign neoplasm of meninges, unspecified","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7H20","Benign neoplasm of pituitary gland","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7H21","Benign neoplasm of Rathke's pouch","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7H2.","Benign neoplasm of pituitary gland and craniopharyngeal duct","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7H3.","Benign neoplasm of pineal gland","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBd0.","[M]Meningioma NOS","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBd5.","[M]Psammomatous meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBd7.","[M]Haemangioblastic meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBd..","[M]Meningiomas","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBdz.","[M]Meningioma NOS","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBe5.","[M]Neurilemmoma NOS","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
