"Code","Description","Condition","Sub-condition"
"2B6A.","O/E - blind R-eye","Visual impairment and blindness","Visual impairment and blindness"
"2B6B.","O/E - R-eye completely blind","Visual impairment and blindness","Visual impairment and blindness"
"2B6S.","O/E - pinhole R-eye completely blind","Visual impairment and blindness","Visual impairment and blindness"
"2B7A.","O/E - blind L-eye","Visual impairment and blindness","Visual impairment and blindness"
"2B7B.","O/E - L-eye completely blind","Visual impairment and blindness","Visual impairment and blindness"
"2B7S.","O/E - pinhole L-eye completely blind","Visual impairment and blindness","Visual impairment and blindness"
"6688.","Registered partially sighted","Visual impairment and blindness","Visual impairment and blindness"
"6689.","Registered blind","Visual impairment and blindness","Visual impairment and blindness"
"668D.","Registered sight impaired","Visual impairment and blindness","Visual impairment and blindness"
"F49..","Blindness and low vision","Visual impairment and blindness","Visual impairment and blindness"
"F490.","Blindness, both eyes","Visual impairment and blindness","Visual impairment and blindness"
"F4900","Unspecified blindness both eyes","Visual impairment and blindness","Visual impairment and blindness"
"F492.","Low vision, both eyes","Visual impairment and blindness","Visual impairment and blindness"
"F4920","Low vision, both eyes unspecified","Visual impairment and blindness","Visual impairment and blindness"
"F492z","Low vision, both eyes NOS","Visual impairment and blindness","Visual impairment and blindness"
"F493.","Visual loss, both eyes unqualified","Visual impairment and blindness","Visual impairment and blindness"
"F49z0","Charles Bonnet syndrome","Visual impairment and blindness","Visual impairment and blindness"
"F4H73","Cortical blindness","Visual impairment and blindness","Visual impairment and blindness"
"SJ0z.","Blindness - traumatic - NOS","Visual impairment and blindness","Visual impairment and blindness"
