"Code","Description","Condition","Sub-condition"
"G343.","Ischaemic cardiomyopathy","Cardiomyopathy","Other Cardiomyopathy"
"G5542","Familial cardiomyopathy","Cardiomyopathy","Other Cardiomyopathy"
"G5545","Takotsubo cardiomyopathy","Cardiomyopathy","Other Cardiomyopathy"
"G554.","Other primary cardiomyopathies","Cardiomyopathy","Other Cardiomyopathy"
"G554z","Other primary cardiomyopathy NOS","Cardiomyopathy","Other Cardiomyopathy"
"G5570","Amyloid heart disease","Cardiomyopathy","Other Cardiomyopathy"
"G559.","Arrhythmogenic right ventricular cardiomyopathy","Cardiomyopathy","Other Cardiomyopathy"
"G55A.","Tachycardiomyopathy","Cardiomyopathy","Other Cardiomyopathy"
"G55..","Cardiomyopathy","Cardiomyopathy","Other Cardiomyopathy"
"G55y.","Secondary cardiomyopathy NOS","Cardiomyopathy","Other Cardiomyopathy"
"G55z.","Cardiomyopathy NOS","Cardiomyopathy","Other Cardiomyopathy"
