"Code","Description","Condition","Sub-condition"
"141E.","History of hepatitis B","Chronic liver disease","Chronic viral hepatitis"
"14i..","H/O hepatitis C antiviral drug therapy","Chronic liver disease","Chronic viral hepatitis"
"21267","Hepatitis C resolved","Chronic liver disease","Chronic viral hepatitis"
"43B4.","Hepatitis B surface antig +ve","Chronic liver disease","Chronic viral hepatitis"
"43B5.","Hepatitis e antigen present","Chronic liver disease","Chronic viral hepatitis"
"43X3.","Hepatitis C antibody test positive","Chronic liver disease","Chronic viral hepatitis"
"4JQD.","Hepatitis C viral ribonucleic acid polymerase chain reaction positive","Chronic liver disease","Chronic viral hepatitis"
"4JQF.","Hepatitis C antigen positive","Chronic liver disease","Chronic viral hepatitis"
"9kR..","Chronic hepatitis annual review - enhanced services administration","Chronic liver disease","Chronic viral hepatitis"
"9kV..","Hepatitis C screening positive - enhanced services administration","Chronic liver disease","Chronic viral hepatitis"
"9kZ..","Hepatitis B screening positive - enhanced services administration","Chronic liver disease","Chronic viral hepatitis"
"9NgR.","On hepatitis C treatment plan","Chronic liver disease","Chronic viral hepatitis"
"A703.","Viral (serum) hepatitis B","Chronic liver disease","Chronic viral hepatitis"
"A7050","Viral hepatitis C without mention of hepatic coma","Chronic liver disease","Chronic viral hepatitis"
"A7070","Chronic viral hepatitis B with delta-agent","Chronic liver disease","Chronic viral hepatitis"
"A7072","Chronic viral hepatitis C","Chronic liver disease","Chronic viral hepatitis"
"A7073","Chronic viral hepatitis B","Chronic liver disease","Chronic viral hepatitis"
"A707.","Chronic viral hepatitis","Chronic liver disease","Chronic viral hepatitis"
"A707X","Chronic viral hepatitis, unspecified","Chronic liver disease","Chronic viral hepatitis"
"A70C.","Hepatitis C genotype 3","Chronic liver disease","Chronic viral hepatitis"
"A70D.","Hepatitis C genotype 4","Chronic liver disease","Chronic viral hepatitis"
"A70z0","Hepatitis C","Chronic liver disease","Chronic viral hepatitis"
