"Code","Description","Condition","Sub-condition"
"8HlL.","Referral for chronic fatigue syndrome activity management","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"8Q1..","Activity management for chronic fatigue syndrome","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"E205.","Neurasthenia - nervous debility","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"Eu460","[X]Neurasthenia","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"F03y.","Other causes of encephalitis","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"F2860","Mild chronic fatigue syndrome","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"F286.","Chronic fatigue syndrome","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"N239.","Fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"N2401","Fibrositis unspecified","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"N2405","Fibrositis of neck","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"N2406","Fibrositis arm","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"N248.","Fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"R0074","[D]Postviral (asthenic) syndrome","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
