"Code","Description","Condition","Sub-condition"
"C3500","Haemochromatosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"G8522","Oesophageal varices in cirrhosis of the liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"G8523","Oesophageal varices in alcoholic cirrhosis of the liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J6120","Alcoholic fibrosis and sclerosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J612.","Alcoholic cirrhosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J613.","Alcoholic liver damage unspecified","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J615.","Cirrhosis - non alcoholic","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J615z","Non-alcoholic cirrhosis NOS","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J616.","Biliary cirrhosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J6170","Chronic alcoholic hepatitis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J617.","Alcoholic hepatitis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J61..","Cirrhosis and chronic liver disease","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J61y4","Hepatic fibrosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J6356","Toxic liver disease with fibrosis and cirrhosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"Jyu71","[X]Other and unspecified cirrhosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
