"Code","Description","Condition","Sub-condition"
"1Z12.","Chronic kidney disease stage 3","Chronic renal disease","Chronic Kidney Disease"
"1Z13.","Chronic kidney disease stage 4","Chronic renal disease","Chronic Kidney Disease"
"1Z14.","Chronic kidney disease stage 5","Chronic renal disease","Chronic Kidney Disease"
"1Z15.","Chronic kidney disease stage 3A","Chronic renal disease","Chronic Kidney Disease"
"1Z16.","Chronic kidney disease stage 3B","Chronic renal disease","Chronic Kidney Disease"
"1Z1a.","CKD G4A1 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1","Chronic renal disease","Chronic Kidney Disease"
"1Z1b.","CKD G4A2 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2","Chronic renal disease","Chronic Kidney Disease"
"1Z1B.","Chronic kidney disease stage 3 with proteinuria","Chronic renal disease","Chronic Kidney Disease"
"1Z1c.","CKD G4A3 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3","Chronic renal disease","Chronic Kidney Disease"
"1Z1C.","Chronic kidney disease stage 3 without proteinuria","Chronic renal disease","Chronic Kidney Disease"
"1Z1d.","CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1","Chronic renal disease","Chronic Kidney Disease"
"1Z1D.","Chronic kidney disease stage 3A with proteinuria","Chronic renal disease","Chronic Kidney Disease"
"1Z1e.","CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2","Chronic renal disease","Chronic Kidney Disease"
"1Z1E.","Chronic kidney disease stage 3A without proteinuria","Chronic renal disease","Chronic Kidney Disease"
"1Z1f.","CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3","Chronic renal disease","Chronic Kidney Disease"
"1Z1F.","Chronic kidney disease stage 3B with proteinuria","Chronic renal disease","Chronic Kidney Disease"
"1Z1G.","Chronic kidney disease stage 3B without proteinuria","Chronic renal disease","Chronic Kidney Disease"
"1Z1H.","Chronic kidney disease stage 4 with proteinuria","Chronic renal disease","Chronic Kidney Disease"
"1Z1J.","Chronic kidney disease stage 4 without proteinuria","Chronic renal disease","Chronic Kidney Disease"
"1Z1K.","Chronic kidney disease stage 5 with proteinuria","Chronic renal disease","Chronic Kidney Disease"
"1Z1L.","Chronic kidney disease stage 5 without proteinuria","Chronic renal disease","Chronic Kidney Disease"
"1Z1T.","CKD G3aA1 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1","Chronic renal disease","Chronic Kidney Disease"
"1Z1V.","CKD G3aA2 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2","Chronic renal disease","Chronic Kidney Disease"
"1Z1W.","CKD G3aA3 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3","Chronic renal disease","Chronic Kidney Disease"
"1Z1X.","CKD G3bA1 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1","Chronic renal disease","Chronic Kidney Disease"
"1Z1Y.","CKD G3bA2 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2","Chronic renal disease","Chronic Kidney Disease"
"1Z1Z.","CKD G3bA3 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3","Chronic renal disease","Chronic Kidney Disease"
"K053.","Chronic kidney disease stage 3","Chronic renal disease","Chronic Kidney Disease"
"K054.","Chronic kidney disease stage 4","Chronic renal disease","Chronic Kidney Disease"
"K055.","Chronic kidney disease stage 5","Chronic renal disease","Chronic Kidney Disease"
