"Code","Description","Condition","Sub-condition"
"44J3.","Serum creatinine","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J30","Serum creatinine abnormal","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J31","Serum creatinine low","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J32","Serum creatinine normal","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J33","Serum creatinine raised","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J3z","Serum creatinine NOS","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44JC.","Corrected plasma creatinine level","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44JD.","Corrected serum creatinine level","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44JF.","Plasma creatinine level","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"4Q40.","Creatinine level","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
