"Code","Description","Condition","Sub-condition"
"7J413","Vertebroplasty of fracture of spine","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"7J415","Balloon kyphoplasty of fracture of spine","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"7J48M","Vertebroplasty","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"N3310","Pathological fracture of thoracic vertebra","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"N3311","Pathological fracture of lumbar vertebra","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"N3318","Osteoporosis + pathological fracture lumbar vertebrae","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"N3319","Osteoporosis + pathological fracture thoracic vertebrae","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"N331E","Collapse of cervical vertebra","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"N331F","Collapse of thoracic vertebra","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"N331G","Collapse of lumbar vertebra","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"N331J","Collapse of lumbar vertebra due to osteoporosis","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"N331K","Collapse of thoracic vertebra due to osteoporosis","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"N331L","Collapse of vertebra due to osteoporosis NOS","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"N331.","Pathological fracture","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"S1021","Closed fracture thoracic vertebra, wedge","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
"S1041","Closed fracture lumbar vertebra, wedge","Osteoporosis and vertebral crush fractures","Collapsed vertebra"
