"Code","Description","Condition","Sub-condition"
"J08z9","Orofacial Crohn's disease","Inflammatory bowel disease","Crohn's disease"
"J4002","Crohn's disease of the terminal ileum","Inflammatory bowel disease","Crohn's disease"
"J4003","Crohn's disease of the ileum unspecified","Inflammatory bowel disease","Crohn's disease"
"J4004","Crohn's disease of the ileum NOS","Inflammatory bowel disease","Crohn's disease"
"J4005","Exacerbation of Crohn's disease of small intestine","Inflammatory bowel disease","Crohn's disease"
"J400.","Regional enteritis of the small bowel","Inflammatory bowel disease","Crohn's disease"
"J400z","Crohn's disease of the small bowel NOS","Inflammatory bowel disease","Crohn's disease"
"J4010","Regional enteritis of the colon","Inflammatory bowel disease","Crohn's disease"
"J4012","Exacerbation of Crohn's disease of large intestine","Inflammatory bowel disease","Crohn's disease"
"J401.","Regional enteritis of the large bowel","Inflammatory bowel disease","Crohn's disease"
"J401z","Crohn's disease of the large bowel NOS","Inflammatory bowel disease","Crohn's disease"
"J40..","Regional enteritis - Crohn's disease","Inflammatory bowel disease","Crohn's disease"
"J40z.","Regional enteritis NOS","Inflammatory bowel disease","Crohn's disease"
"Jyu40","[X]Other Crohn's disease","Inflammatory bowel disease","Crohn's disease"
"N0311","Arthropathy in Crohn's disease","Inflammatory bowel disease","Crohn's disease"
