"Code","Description","Condition","Sub-condition"
"1C133","Bilateral deafness","Hearing loss","Hearing loss"
"2BL3.","O/E - significantly deaf","Hearing loss","Hearing loss"
"2BL4.","O/E - very deaf","Hearing loss","Hearing loss"
"F5801","Presbyacusis","Hearing loss","Hearing loss"
"F5914","Congenital sensorineural deafness","Hearing loss","Hearing loss"
"F5916","Sensorineural hearing loss, bilateral","Hearing loss","Hearing loss"
"F591C","Moderate sensorineural hearing loss","Hearing loss","Hearing loss"
"F5921","Mixed conductive and sensorineural hearing loss, bilateral","Hearing loss","Hearing loss"
"F598.","Moderate acquired hearing loss","Hearing loss","Hearing loss"
"1C17.","Hearing aid problem","Hearing loss","Hearing loss"
"2DG..","Hearing aid worn","Hearing loss","Hearing loss"
"2DH0.","Uses hearing loop","Hearing loss","Hearing loss"
"7311A","Insertn bone anchors subcutaneous bone anchored hearing aid","Hearing loss","Hearing loss"
"7317C","Placement of hearing implant in middle ear","Hearing loss","Hearing loss"
"7317E","Removal of hearing implant from middle ear","Hearing loss","Hearing loss"
"73196","First stge ins fixtures for bone anchored hearing prosthesis","Hearing loss","Hearing loss"
"7319.","Attachment of bone anchored hearing prosthesis","Hearing loss","Hearing loss"
"8D23.","Ear fitting hearing aid","Hearing loss","Hearing loss"
"8D26.","Provision of replacement hearing aid","Hearing loss","Hearing loss"
"8D2..","Hearing aid provision","Hearing loss","Hearing loss"
"8M41.","Hearing aid requested","Hearing loss","Hearing loss"
"Z8B53","Does use hearing aid","Hearing loss","Hearing loss"
"Z8B55","Difficulty using hearing aid","Hearing loss","Hearing loss"
"Z9111","Fit hearing aid","Hearing loss","Hearing loss"
"Z911.","Hearing aid procedure","Hearing loss","Hearing loss"
"Z9E81","Hearing aid provision","Hearing loss","Hearing loss"
"ZV45G","[V]Presence of external hearing-aid","Hearing loss","Hearing loss"
"ZV45N","[V]Bone anchored hearing aid in situ","Hearing loss","Hearing loss"
"ZV532","[V]Fitting or adjustment of hearing aid","Hearing loss","Hearing loss"
"ZV53D","[V]Adjustment and management of implanted hearing device","Hearing loss","Hearing loss"
