"Code","Description","Condition","Sub-condition"
"1461.","H/O: dementia","Dementia","Dementia"
"66h..","Dementia monitoring","Dementia","Dementia"
"6AB..","Dementia annual review","Dementia","Dementia"
"8CMZ.","Dementia care plan","Dementia","Dementia"
"9hD0.","Excepted from dementia quality indicators: Patient unsuitable","Dementia","Dementia"
"9hD1.","Excepted from dementia quality indicators: Informed dissent","Dementia","Dementia"
"9hD..","Exception reporting: dementia quality indicators","Dementia","Dementia"
"9Ou1.","Dementia monitoring first letter","Dementia","Dementia"
"9Ou2.","Dementia monitoring second letter","Dementia","Dementia"
"9Ou3.","Dementia monitoring third letter","Dementia","Dementia"
"9Ou4.","Dementia monitoring verbal invite","Dementia","Dementia"
"9Ou5.","Dementia monitoring telephone invite","Dementia","Dementia"
"9Ou..","Dementia monitoring administration","Dementia","Dementia"
"E000.","Uncomplicated senile dementia","Dementia","Dementia"
"E001.","Presenile dementia","Dementia","Dementia"
"E0021","Senile dementia with depression","Dementia","Dementia"
"E003.","Senile dementia with delirium","Dementia","Dementia"
"E0040","Uncomplicated arteriosclerotic dementia","Dementia","Dementia"
"E004.","Arteriosclerotic dementia","Dementia","Dementia"
"E004z","Arteriosclerotic dementia NOS","Dementia","Dementia"
"E00..","Senile and presenile organic psychotic conditions","Dementia","Dementia"
"E00z.","Senile or presenile psychoses NOS","Dementia","Dementia"
"E041.","Dementia in conditions EC","Dementia","Dementia"
"Eu000","[X]Dementia in Alzheimer's disease with early onset","Dementia","Dementia"
"Eu001","[X]Dementia in Alzheimer's disease with late onset","Dementia","Dementia"
"Eu002","[X]Dementia in Alzheimer's disease, atypical or mixed type","Dementia","Dementia"
"Eu00.","[X]Dementia in Alzheimer's disease","Dementia","Dementia"
"Eu00z","[X]Dementia in Alzheimer's disease, unspecified","Dementia","Dementia"
"Eu011","[X]Multi-infarct dementia","Dementia","Dementia"
"Eu012","[X]Subcortical vascular dementia","Dementia","Dementia"
"Eu013","[X]Mixed cortical and subcortical vascular dementia","Dementia","Dementia"
"Eu01.","[X]Vascular dementia","Dementia","Dementia"
"Eu01y","[X]Other vascular dementia","Dementia","Dementia"
"Eu01z","[X]Vascular dementia, unspecified","Dementia","Dementia"
"Eu02z","[X] Unspecified dementia","Dementia","Dementia"
"F1100","Alzheimer's disease with early onset","Dementia","Dementia"
"F1101","Alzheimer's disease with late onset","Dementia","Dementia"
"F110.","Alzheimer's disease","Dementia","Dementia"
