"Code","Description","Condition","Sub-condition"
"1465.","H/O: depression","Depression","Depression"
"212S.","Depression resolved","Depression","Depression"
"62T1.","Puerperal depression","Depression","Depression"
"E112.","Single major depressive episode","Depression","Depression"
"E1120","Single major depressive episode, unspecified","Depression","Depression"
"E1121","Single major depressive episode, mild","Depression","Depression"
"E1122","Single major depressive episode, moderate","Depression","Depression"
"E1123","Single major depressive episode, severe, without mention of psychosis","Depression","Depression"
"E1125","Single major depressive episode, in partial or unspecified remission","Depression","Depression"
"E112z","Single major depressive episode NOS","Depression","Depression"
"E113.","Recurrent major depressive episode","Depression","Depression"
"E1130","Recurrent major depressive episodes, unspecified","Depression","Depression"
"E1131","Recurrent major depressive episodes, mild","Depression","Depression"
"E1132","Recurrent major depressive episodes, moderate","Depression","Depression"
"E1133","Recurrent major depressive episodes, severe, without mention of psychosis","Depression","Depression"
"E1135","Recurrent major depressive episodes, in partial or unspecified remission","Depression","Depression"
"E1136","Recurrent major depressive episodes, in full remission","Depression","Depression"
"E1137","Recurrent depression","Depression","Depression"
"E113z","Recurrent major depressive episode NOS","Depression","Depression"
"E118.","Seasonal affective disorder","Depression","Depression"
"E11z2","Masked depression","Depression","Depression"
"E130.","Reactive depressive psychosis","Depression","Depression"
"E135.","Agitated depression","Depression","Depression"
"E2003","Anxiety with depression","Depression","Depression"
"E204.","Neurotic depression reactive type","Depression","Depression"
"E291.","Prolonged depressive reaction","Depression","Depression"
"E2B..","Depressive disorder NEC","Depression","Depression"
"E2B1.","Chronic depression","Depression","Depression"
"Eu3..","[X]Mood - affective disorders","Depression","Depression"
"Eu32.","[X]Depressive episode","Depression","Depression"
"Eu320","[X]Mild depressive episode","Depression","Depression"
"Eu321","[X]Moderate depressive episode","Depression","Depression"
"Eu322","[X]Severe depressive episode without psychotic symptoms","Depression","Depression"
"Eu324","[X]Mild depression","Depression","Depression"
"Eu325","[X]Major depression, mild","Depression","Depression"
"Eu326","[X]Major depression, moderately severe","Depression","Depression"
"Eu327","[X]Major depression, severe without psychotic symptoms","Depression","Depression"
"Eu32y","[X]Other depressive episodes","Depression","Depression"
"Eu32z","[X]Depressive episode, unspecified","Depression","Depression"
"Eu33.","[X]Recurrent depressive disorder","Depression","Depression"
"Eu330","[X]Recurrent depressive disorder, current episode mild","Depression","Depression"
"Eu331","[X]Recurrent depressive disorder, current episode moderate","Depression","Depression"
"Eu332","[X]Recurrent depressive disorder, current episode severe without psychotic symptoms","Depression","Depression"
"Eu334","[X]Recurrent depressive disorder, currently in remission","Depression","Depression"
"Eu33y","[X]Other recurrent depressive disorders","Depression","Depression"
"Eu33z","[X]Recurrent depressive disorder, unspecified","Depression","Depression"
"Eu34.","[X]Persistent mood affective disorders","Depression","Depression"
"Eu341","[X]Dysthymia","Depression","Depression"
"Eu3y0","[X]Other single mood affective disorders","Depression","Depression"
"Eu3y1","[X]Other recurrent mood affective disorders","Depression","Depression"
"Eu3z.","[X]Unspecified mood affective disorder","Depression","Depression"
"Eu412","[X]Mixed anxiety and depressive disorder","Depression","Depression"
"ZV111","[V]Personal history of affective disorder","Depression","Depression"
