"Code","Description","Condition","Sub-condition"
"1434.","H/O: diabetes mellitus","Diabetes NOS","Diabetes NOS"
"14P3.","H/O: insulin therapy","Diabetes NOS","Diabetes NOS"
"21263","Diabetes resolved","Diabetes NOS","Diabetes NOS"
"212H.","Diabetes resolved","Diabetes NOS","Diabetes NOS"
"C10B.","Diabetes mellitus induced by steroids","Diabetes NOS","Diabetes NOS"
"C10FS","Maternally inherited diabetes mellitus","Diabetes NOS","Diabetes NOS"
"C10G.","Secondary pancreatic diabetes mellitus","Diabetes NOS","Diabetes NOS"
"C10N.","Secondary diabetes mellitus","Diabetes NOS","Diabetes NOS"
"C11y0","Steroid induced diabetes","Diabetes NOS","Diabetes NOS"
"66A3.","Diabetic on diet only","Diabetes NOS","Diabetes NOS"
"66A4.","Diabetic on oral treatment","Diabetes NOS","Diabetes NOS"
"66A5.","Diabetic on insulin","Diabetes NOS","Diabetes NOS"
"66AV.","Diabetic on insulin and oral treatment","Diabetes NOS","Diabetes NOS"
"66Am.","Insulin dose changed","Diabetes NOS","Diabetes NOS"
"66Ap.","Insulin treatment initiated","Diabetes NOS","Diabetes NOS"
"7L198","Subcutaneous injection of insulin","Diabetes NOS","Diabetes NOS"
"C10..","Diabetes mellitus","Diabetes NOS","Diabetes NOS"
"C100.","Diabetes mellitus with no mention of complication","Diabetes NOS","Diabetes NOS"
"C100z","Diabetes mellitus NOS with no mention of complication","Diabetes NOS","Diabetes NOS"
"C101.","Diabetes mellitus with ketoacidosis","Diabetes NOS","Diabetes NOS"
"C101z","Diabetes mellitus NOS with ketoacidosis","Diabetes NOS","Diabetes NOS"
"C102.","Diabetes mellitus with hyperosmolar coma","Diabetes NOS","Diabetes NOS"
"C102z","Diabetes mellitus NOS with hyperosmolar coma","Diabetes NOS","Diabetes NOS"
"C103.","Diabetes mellitus with ketoacidotic coma","Diabetes NOS","Diabetes NOS"
"C104z","Diabetes mellitus with nephropathy NOS","Diabetes NOS","Diabetes NOS"
"C105.","Diabetes mellitus with ophthalmic manifestation","Diabetes NOS","Diabetes NOS"
"C105z","Diabetes mellitus NOS with ophthalmic manifestation","Diabetes NOS","Diabetes NOS"
"C106y","Other specified diabetes mellitus with neurological complications","Diabetes NOS","Diabetes NOS"
"C106z","Diabetes mellitus NOS with neurological manifestation","Diabetes NOS","Diabetes NOS"
"C107.","Diabetes mellitus with peripheral circulatory disorder","Diabetes NOS","Diabetes NOS"
"C10C.","Diabetes mellitus autosomal dominant","Diabetes NOS","Diabetes NOS"
"C10yz","Diabetes mellitus NOS with other specified manifestation","Diabetes NOS","Diabetes NOS"
"C10z.","Diabetes mellitus with unspecified complication","Diabetes NOS","Diabetes NOS"
"Cyu2.","[X]Diabetes mellitus","Diabetes NOS","Diabetes NOS"
"L180X","Pre-existing diabetes mellitus, unspecified","Diabetes NOS","Diabetes NOS"
