"Code","Description","Condition","Sub-condition"
"77180","Excision of diverticulum of colon","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J23z3","Appendicular diverticulum","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J5100","Diverticulosis of the duodenum","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J5101","Diverticulosis of the jejunum","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J5105","Diverticulosis of the colon","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J5106","Diverticulosis of the large intestine unspecified","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J5107","Diverticulosis of the large intestine NOS","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J5109","Bleeding diverticulosis","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J510.","Diverticulosis","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J510y","Diverticulosis unspecified","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J510z","Diverticulosis NOS","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J5110","Diverticulitis of the duodenum","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J5115","Diverticulitis of the colon","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J5117","Diverticulitis of the large intestine NOS","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J511.","Diverticulitis","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J511y","Diverticulitis unspecified","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J511z","Diverticulitis NOS","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J5121","Perforated diverticulum of jejunum","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J5125","Perforated diverticulum of colon","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J512.","Perforated diverticulum","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J512y","Perforated diverticulum unspecified","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J513.","Diverticular abscess","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J51..","Diverticula of intestine","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
"J51z.","Diverticula of the intestine NOS","Diverticular disease of intestine (acute and chronic)","Diverticular disease of intestine (acute and chronic)"
