"Code","Description","Condition","Sub-condition"
"C1060","Diabetes mellitus, juvenile type, with neurological manifestation","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"C1061","Diabetes mellitus, adult onset, with neurological manifestation","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"C106.","Diabetes mellitus with neurological manifestation","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"C106y","Other specified diabetes mellitus with neurological complications","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"C106z","Diabetes mellitus NOS with neurological manifestation","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"C10FB","Type 2 diabetes mellitus with polyneuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"C10FH","Type 2 diabetes mellitus with neuropathic arthropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F1711","Autonomic neuropathy due to diabetes","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F35z0","Diabetic mononeuritis NOS","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F3720","Acute painful diabetic neuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F3721","Chronic painful diabetic neuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F3722","Asymptomatic diabetic neuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F372.","Polyneuropathy in diabetes","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F3813","Myasthenic syndrome due to diabetic amyotrophy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F3y0.","Diabetic mononeuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"M2711","Neuropathic diabetic ulcer - foot","Peripheral or autonomic neuropathy","Diabetic neurological complications"
