"Code","Description","Condition","Sub-condition"
"J123.","Duodenal erosion","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J1500","Acute haemorrhagic gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J150.","Acute gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J1510","Chronic atrophic gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J1511","Chronic inflammatory gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J1512","Chronic superficial gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J151.","Chronic gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J151z","Chronic gastritis NOS","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J152.","Gastric mucosal hypertrophy","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J153.","Alcoholic gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J1540","Allergic gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J1541","Bile induced gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J1542","Irritant gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J1543","Corrosive gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J1544","Helicobacter gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J154.","Other specified gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J154z","Other specified gastritis NOS","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J155.","Gastritis unspecified","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J156.","Gastroduodenitis unspecified","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J157.","Duodenitis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J15..","Gastritis and duodenitis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J15z.","Gastritis and duodenitis NOS","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"J4z0.","Non-infective gastritis NOS","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"Jyu12","[X]Other acute gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
"Jyu13","[X]Other gastritis","Gastro-oesophageal reflux, gastritis and similar","Gastritis and duodenitis"
