"Code","Description","Condition","Sub-condition"
"72590","Needling of bleb following glaucoma surgery","Glaucoma","Glaucoma"
"72591","Injection of bleb following glaucoma surgery","Glaucoma","Glaucoma"
"72592","Revision of bleb NEC following glaucoma surgery","Glaucoma","Glaucoma"
"7275.","Pan retinal photocoagulation for glaucoma","Glaucoma","Glaucoma"
"F4042","Blind hypertensive eye","Glaucoma","Glaucoma"
"F4501","Open angle glaucoma with borderline intraocular pressure","Glaucoma","Glaucoma"
"F4510","Unspecified open-angle glaucoma","Glaucoma","Glaucoma"
"F4511","Primary open-angle glaucoma","Glaucoma","Glaucoma"
"F4512","Low tension glaucoma","Glaucoma","Glaucoma"
"F451.","Open-angle glaucoma","Glaucoma","Glaucoma"
"F451z","Open-angle glaucoma NOS","Glaucoma","Glaucoma"
"F4520","Unspecified primary angle-closure glaucoma","Glaucoma","Glaucoma"
"F4521","Intermittent primary angle-closure glaucoma","Glaucoma","Glaucoma"
"F4522","Acute primary angle-closure glaucoma","Glaucoma","Glaucoma"
"F4523","Chronic primary angle-closure glaucoma","Glaucoma","Glaucoma"
"F452.","Primary angle-closure glaucoma","Glaucoma","Glaucoma"
"F452z","Primary angle-closure glaucoma NOS","Glaucoma","Glaucoma"
"F45..","Glaucoma","Glaucoma","Glaucoma"
"F45y2","Low tension glaucoma","Glaucoma","Glaucoma"
"F45y.","Other specified forms of glaucoma","Glaucoma","Glaucoma"
"F45yz","Other specified glaucoma NOS","Glaucoma","Glaucoma"
"F45z.","Glaucoma NOS","Glaucoma","Glaucoma"
"F4H14","Optic disc glaucomatous atrophy","Glaucoma","Glaucoma"
"FyuG.","[X]Glaucoma","Glaucoma","Glaucoma"
