"Code","Description","Condition","Sub-condition"
"1443.","H/O: gout","Gout","Gout"
"2D52.","O/E - auricle of ear - tophi","Gout","Gout"
"6691.","Initial gout assessment","Gout","Gout"
"6692.","Follow-up gout assessment","Gout","Gout"
"6695.","Date gout treatment started","Gout","Gout"
"669..","Gout monitoring","Gout","Gout"
"6697.","Gout associated problems","Gout","Gout"
"669Z.","Gout monitoring NOS","Gout","Gout"
"C340.","Gouty arthropathy","Gout","Gout"
"C342.","Idiopathic gout","Gout","Gout"
"C344.","Drug-induced gout","Gout","Gout"
"C345.","Gout due to impairment of renal function","Gout","Gout"
"C34..","Gout","Gout","Gout"
"C34y0","Gouty tophi of ear","Gout","Gout"
"C34y2","Gouty tophi of other sites","Gout","Gout"
"C34y3","Gouty iritis","Gout","Gout"
"C34y5","Gouty tophi of hand","Gout","Gout"
"C34z.","Gout NOS","Gout","Gout"
"G5573","Gouty tophi of heart","Gout","Gout"
"N0234","Gouty arthritis of the hand","Gout","Gout"
"N0237","Gouty arthritis of the ankle and foot","Gout","Gout"
"N0238","Gouty arthritis of toe","Gout","Gout"
"N023.","Gouty arthritis","Gout","Gout"
"N023x","Gouty arthritis of multiple sites","Gout","Gout"
"N023z","Gouty arthritis NOS","Gout","Gout"
