"Code","Description","Condition","Sub-condition"
"B613.","Hodgkin's disease, lymphocytic-histiocytic predominance","Haematological malignancies","Hodgkin Lymphoma"
"B614.","Hodgkin's disease, nodular sclerosis","Haematological malignancies","Hodgkin Lymphoma"
"B615.","Hodgkin's disease, mixed cellularity","Haematological malignancies","Hodgkin Lymphoma"
"B617.","Nodular lymphocyte predominant Hodgkin lymphoma","Haematological malignancies","Hodgkin Lymphoma"
"B618.","Nodular sclerosis classical Hodgkin lymphoma","Haematological malignancies","Hodgkin Lymphoma"
"B61..","Hodgkin's disease","Haematological malignancies","Hodgkin Lymphoma"
"B61z0","Hodgkin's disease NOS, unspecified site","Haematological malignancies","Hodgkin Lymphoma"
"B61z1","Hodgkin's disease NOS of lymph nodes of head, face and neck","Haematological malignancies","Hodgkin Lymphoma"
"B61z4","Hodgkin's disease NOS of lymph nodes of axilla and upper limb","Haematological malignancies","Hodgkin Lymphoma"
"B61z8","Hodgkin's disease NOS of lymph nodes of multiple sites","Haematological malignancies","Hodgkin Lymphoma"
"BBj0.","[M]Hodgkin's disease NOS","Haematological malignancies","Hodgkin Lymphoma"
"BBj1.","[M]Hodgkin's disease, lymphocytic predominance","Haematological malignancies","Hodgkin Lymphoma"
"BBj2.","[M]Hodgkin's disease, mixed cellularity","Haematological malignancies","Hodgkin Lymphoma"
"BBj61","[M]Hodgkin,s disease, nodular sclerosis, mixed cellularity","Haematological malignancies","Hodgkin Lymphoma"
"BBj..","[M]Hodgkin's disease","Haematological malignancies","Hodgkin Lymphoma"
"BBjz.","[M]Hodgkin's disease NOS","Haematological malignancies","Hodgkin Lymphoma"
"ZV107","[V]Personal history of other lymphatic or haematopoietic neoplasm","Haematological malignancies","Hodgkin Lymphoma"
