"Code","Description","Condition","Sub-condition"
"14A2.","H/O: hypertension","Hypertension","Hypertension"
"21261","Hypertension resolved","Hypertension","Hypertension"
"212K.","Hypertension resolved","Hypertension","Hypertension"
"6627.","Good hypertension control","Hypertension","Hypertension"
"6628.","Poor hypertension control","Hypertension","Hypertension"
"662F.","Hypertension treatm. started","Hypertension","Hypertension"
"662G.","Hypertensive treatm.changed","Hypertension","Hypertension"
"662O.","On treatment for hypertension","Hypertension","Hypertension"
"662b.","Moderate hypertension control","Hypertension","Hypertension"
"662c.","Hypertension six month review","Hypertension","Hypertension"
"662d.","Hypertension annual review","Hypertension","Hypertension"
"8I3N.","Hypertension treatment refused","Hypertension","Hypertension"
"F4213","Hypertensive retinopathy","Hypertension","Hypertension"
"G2...","Hypertensive disease","Hypertension","Hypertension"
"G20..","Essential hypertension","Hypertension","Hypertension"
"G200.","Malignant essential hypertension","Hypertension","Hypertension"
"G201.","Benign essential hypertension","Hypertension","Hypertension"
"G202.","Systolic hypertension","Hypertension","Hypertension"
"G203.","Diastolic hypertension","Hypertension","Hypertension"
"G20z.","Essential hypertension NOS","Hypertension","Hypertension"
"G21..","Hypertensive heart disease","Hypertension","Hypertension"
"G211.","Benign hypertensive heart disease","Hypertension","Hypertension"
"G21z0","Hypertensive heart disease NOS without congestive cardic failure","Hypertension","Hypertension"
"G21zz","Hypertensive heart disease NOS","Hypertension","Hypertension"
"G22..","Hypertensive renal disease","Hypertension","Hypertension"
"G220.","Malignant hypertensive renal disease","Hypertension","Hypertension"
"G221.","Benign hypertensive renal disease","Hypertension","Hypertension"
"G22z.","Hypertensive renal disease NOS","Hypertension","Hypertension"
"G2y..","Other specified hypertensive disease","Hypertension","Hypertension"
"G2z..","Hypertensive disease NOS","Hypertension","Hypertension"
"G672.","Hypertensive encephalopathy","Hypertension","Hypertension"
"Gyu2.","[X]Hypertensive diseases","Hypertension","Hypertension"
"L122.","Other pre-existing hypertension in preg/childbirth/puerp","Hypertension","Hypertension"
"L1220","Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium unspecified","Hypertension","Hypertension"
"L127.","Pre-eclampsia or eclampsia with pre-existing hypertension","Hypertension","Hypertension"
"61462","Hypertension induced by oral contraceptive pill","Hypertension","Hypertension"
"G24..","Secondary hypertension","Hypertension","Hypertension"
"G240.","Secondary malignant hypertension","Hypertension","Hypertension"
"G241.","Secondary benign hypertension","Hypertension","Hypertension"
"G2410","Secondary benign renovascular hypertension","Hypertension","Hypertension"
"G24z.","Secondary hypertension NOS","Hypertension","Hypertension"
"G24z0","Secondary renovascular hypertension NOS","Hypertension","Hypertension"
"G24z1","Hypertension secondary to drug","Hypertension","Hypertension"
"G24zz","Secondary hypertension NOS","Hypertension","Hypertension"
