"Code","Description","Condition","Sub-condition"
"918e.","On learning disability register","Intellectual disability","Intellectual disability"
"9HB0.","Learning disabilities health action plan declined","Intellectual disability","Intellectual disability"
"9HB1.","Learning disabilities health action plan offered","Intellectual disability","Intellectual disability"
"9HB2.","Learning disabilities health action plan reviewed","Intellectual disability","Intellectual disability"
"9HB3.","Learning disabilities health assessment","Intellectual disability","Intellectual disability"
"9HB4.","Learning disabilities health action plan completed","Intellectual disability","Intellectual disability"
"9HB5.","Learning disabilities annual health assessment","Intellectual disability","Intellectual disability"
"9HB..","Learning disabilities administration status","Intellectual disability","Intellectual disability"
"9mA1.","Learning disability annual health check telephone invitation","Intellectual disability","Intellectual disability"
"9mA20","Learning disability annual health check invitation first letter","Intellectual disability","Intellectual disability"
"9mA21","Learning disability annual health check invitation second letter","Intellectual disability","Intellectual disability"
"9mA22","Learning disability annual health check invitation third letter","Intellectual disability","Intellectual disability"
"9mA2.","Learning disability annual health check letter invitation","Intellectual disability","Intellectual disability"
"9mA..","Learning disability annual health check invitation","Intellectual disability","Intellectual disability"
"E2F2.","Other specific learning difficulty","Intellectual disability","Intellectual disability"
"E30..","Mild mental retardation, IQ in range 50-70","Intellectual disability","Intellectual disability"
"E3...","Mental retardation","Intellectual disability","Intellectual disability"
"E3z..","Mental retardation NOS","Intellectual disability","Intellectual disability"
"Eu70.","[X]Mild mental retardation","Intellectual disability","Intellectual disability"
"Eu70z","[X]Mild mental retardation without mention of impairment of behaviour","Intellectual disability","Intellectual disability"
"Eu71.","[X]Moderate mental retardation","Intellectual disability","Intellectual disability"
"Eu814","[X]Moderate learning disability","Intellectual disability","Intellectual disability"
"Eu815","[X]Severe learning disability","Intellectual disability","Intellectual disability"
"Eu816","[X]Mild learning disability","Intellectual disability","Intellectual disability"
"Eu81z","[X]Developmental disorder of scholastic skills, unspecified","Intellectual disability","Intellectual disability"
