"Code","Description","Condition","Sub-condition"
"14740","H/O migraine with aura","Migraine","Migraine"
"1474.","H/O: migraine","Migraine","Migraine"
"8B6N.","Migraine prophylaxis","Migraine","Migraine"
"F260.","Classical migraine","Migraine","Migraine"
"F2610","Atypical migraine","Migraine","Migraine"
"F261.","Common migraine","Migraine","Migraine"
"F261z","Common migraine NOS","Migraine","Migraine"
"F2622","Abdominal migraine","Migraine","Migraine"
"F2623","Basilar migraine","Migraine","Migraine"
"F2624","Ophthalmic migraine","Migraine","Migraine"
"F262.","Migraine variants","Migraine","Migraine"
"F262z","Migraine variant NOS","Migraine","Migraine"
"F26..","Migraine","Migraine","Migraine"
"F26y0","Hemiplegic migraine","Migraine","Migraine"
"F26y1","Ophthalmoplegic migraine","Migraine","Migraine"
"F26y2","Status migrainosus","Migraine","Migraine"
"F26y3","Complicated migraine","Migraine","Migraine"
"F26y.","Other forms of migraine","Migraine","Migraine"
"F26yz","Other forms of migraine NOS","Migraine","Migraine"
"F26z.","Migraine NOS","Migraine","Migraine"
"Fyu53","[X]Other migraine","Migraine","Migraine"
