"Code","Description","Condition","Sub-condition"
"14A3.","H/O: myocardial infarct <60","Coronary heart disease","Myocardial infarction"
"14A4.","H/O: myocardial infarct >60","Coronary heart disease","Myocardial infarction"
"14AH.","H/O: Myocardial infarction in last year","Coronary heart disease","Myocardial infarction"
"G310.","Postmyocardial infarction syndrome","Coronary heart disease","Myocardial infarction"
"G32..","Old myocardial infarction","Coronary heart disease","Myocardial infarction"
"G30A.","Mural thrombosis","Coronary heart disease","Myocardial infarction"
"G30X0","Acute ST segment elevation myocardial infarction","Coronary heart disease","Myocardial infarction"
"G3071","Acute non-ST segment elevation myocardial infarction","Coronary heart disease","Myocardial infarction"
"323..","ECG: myocardial infarction","Coronary heart disease","Myocardial infarction"
"3233.","ECG: antero-septal infarct.","Coronary heart disease","Myocardial infarction"
"3234.","ECG:posterior/inferior infarct","Coronary heart disease","Myocardial infarction"
"323Z.","ECG: myocardial infarct NOS","Coronary heart disease","Myocardial infarction"
"G30..","Acute myocardial infarction","Coronary heart disease","Myocardial infarction"
"G300.","Acute anterolateral infarction","Coronary heart disease","Myocardial infarction"
"G301.","Other specified anterior myocardial infarction","Coronary heart disease","Myocardial infarction"
"G3011","Acute anteroseptal infarction","Coronary heart disease","Myocardial infarction"
"G301z","Anterior myocardial infarction NOS","Coronary heart disease","Myocardial infarction"
"G302.","Acute inferolateral infarction","Coronary heart disease","Myocardial infarction"
"G303.","Acute inferoposterior infarction","Coronary heart disease","Myocardial infarction"
"G304.","Posterior myocardial infarction NOS","Coronary heart disease","Myocardial infarction"
"G305.","Lateral myocardial infarction NOS","Coronary heart disease","Myocardial infarction"
"G306.","True posterior myocardial infarction","Coronary heart disease","Myocardial infarction"
"G307.","Acute subendocardial infarction","Coronary heart disease","Myocardial infarction"
"G3070","Acute non-Q wave infarction","Coronary heart disease","Myocardial infarction"
"G308.","Inferior myocardial infarction NOS","Coronary heart disease","Myocardial infarction"
"G309.","Acute Q-wave infarct","Coronary heart disease","Myocardial infarction"
"G30X.","Acute transmural myocardial infarction of unspecified site","Coronary heart disease","Myocardial infarction"
"G30yz","Other acute myocardial infarction NOS","Coronary heart disease","Myocardial infarction"
"G30z.","Acute myocardial infarction NOS","Coronary heart disease","Myocardial infarction"
"G38..","Postoperative myocardial infarction","Coronary heart disease","Myocardial infarction"
"G384.","Postoperative subendocardial myocardial infarction","Coronary heart disease","Myocardial infarction"
"G35..","Subsequent myocardial infarction","Coronary heart disease","Myocardial infarction"
