"Code","Description","Condition","Sub-condition"
"G5410","Aortic incompetence, non-rheumatic","Heart valve disorders","Nonrheumatic aortic valve disorders"
"G5411","Aortic stenosis, non-rheumatic","Heart valve disorders","Nonrheumatic aortic valve disorders"
"G5412","Aortic incompetence alone, cause unspecified","Heart valve disorders","Nonrheumatic aortic valve disorders"
"G5413","Aortic stenosis alone, cause unspecified","Heart valve disorders","Nonrheumatic aortic valve disorders"
"G5414","Aortic valve stenosis with insufficiency","Heart valve disorders","Nonrheumatic aortic valve disorders"
"G5415","Aortic stenosis","Heart valve disorders","Nonrheumatic aortic valve disorders"
"G5416","Aortic valve sclerosis","Heart valve disorders","Nonrheumatic aortic valve disorders"
"G5417","Aortic valve calcification","Heart valve disorders","Nonrheumatic aortic valve disorders"
"G541.","Aortic valve disorders","Heart valve disorders","Nonrheumatic aortic valve disorders"
"G541z","Aortic valve disorders NOS","Heart valve disorders","Nonrheumatic aortic valve disorders"
