"Code","Description","Condition","Sub-condition"
"J101.","Oesophagitis","Gastro-oesophageal reflux, gastritis and similar","Oesophagitis and oesophageal ulcer"
"J1011","Reflux oesophagitis","Gastro-oesophageal reflux, gastritis and similar","Oesophagitis and oesophageal ulcer"
"J1012","Chemical oesophagitis","Gastro-oesophageal reflux, gastritis and similar","Oesophagitis and oesophageal ulcer"
"J1015","Phlegmonous oesophagitis","Gastro-oesophageal reflux, gastritis and similar","Oesophagitis and oesophageal ulcer"
"J1016","Ulcerative oesophagitis","Gastro-oesophageal reflux, gastritis and similar","Oesophagitis and oesophageal ulcer"
"J101y","Other specified oesophagitis","Gastro-oesophageal reflux, gastritis and similar","Oesophagitis and oesophageal ulcer"
"J101z","Oesophagitis NOS","Gastro-oesophageal reflux, gastritis and similar","Oesophagitis and oesophageal ulcer"
"J1020","Peptic ulcer of oesophagus","Gastro-oesophageal reflux, gastritis and similar","Oesophagitis and oesophageal ulcer"
"J102.","Ulcer of oesophagus","Gastro-oesophageal reflux, gastritis and similar","Oesophagitis and oesophageal ulcer"
"J102z","Ulcer of oesophagus NOS","Gastro-oesophageal reflux, gastritis and similar","Oesophagitis and oesophageal ulcer"
"J10y3","Oesophageal erosions","Gastro-oesophageal reflux, gastritis and similar","Oesophagitis and oesophageal ulcer"
