"Code","Description","Condition","Sub-condition"
"C106.","Diabetes mellitus with neurological manifestation","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"C10FB","Type 2 diabetes mellitus with polyneuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"C10FH","Type 2 diabetes mellitus with neuropathic arthropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3410","Median nerve neuritis","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3411","Median nerve compression in forearm","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F341.","Other median nerve lesions","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F341z","Median nerve lesions NOS","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3420","Cubital tunnel syndrome","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3423","Ulnar nerve entrapment","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3424","Ulnar neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F342.","Ulnar nerve lesions","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F342z","Ulnar nerve lesion NOS","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3430","Acute radial nerve palsy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F343z","Radial nerve lesion NOS","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F345.","Mononeuritis multiplex","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F346.","Median nerve entrapment","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F34..","Mononeuritis of upper limb and mononeuritis multiplex","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F350.","Sciatic nerve lesion","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F351.","Meralgia paraesthetica","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F352.","Femoral nerve lesions","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F353.","Common peroneal nerve lesion","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F354.","Tibial nerve lesion","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F355.","Tarsal tunnel syndrome","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3560","Morton's metatarsalgia","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3561","Morton's neuralgia","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
