"Code","Description","Condition","Sub-condition"
"14F7.","H/O: arterial lower limb ulcer","Peripheral arterial disease","Peripheral arterial disease"
"14NB.","H/O: Peripheral vascular disease procedure","Peripheral arterial disease","Peripheral arterial disease"
"2G63.","Ischaemic toe","Peripheral arterial disease","Peripheral arterial disease"
"C107.","Diabetes mellitus with peripheral circulatory disorder","Peripheral arterial disease","Peripheral arterial disease"
"C109F","Non-insulin-dependent diabetes mellitus with peripheral angiopathy","Peripheral arterial disease","Peripheral arterial disease"
"C10FF","Type 2 diabetes mellitus with peripheral angiopathy","Peripheral arterial disease","Peripheral arterial disease"
"G700.","Aortic atherosclerosis","Peripheral arterial disease","Peripheral arterial disease"
"G702.","Extremity artery atheroma","Peripheral arterial disease","Peripheral arterial disease"
"G73..","Other peripheral vascular disease","Peripheral arterial disease","Peripheral arterial disease"
"G7310","Buerger's disease","Peripheral arterial disease","Peripheral arterial disease"
"G732.","Peripheral gangrene","Peripheral arterial disease","Peripheral arterial disease"
"G7320","Gangrene of toe","Peripheral arterial disease","Peripheral arterial disease"
"G7321","Gangrene of foot","Peripheral arterial disease","Peripheral arterial disease"
"G733.","Ischaemic foot","Peripheral arterial disease","Peripheral arterial disease"
"G73y2","Acrocyanosis","Peripheral arterial disease","Peripheral arterial disease"
"G73y6","Acroparaesthesia - unspecified","Peripheral arterial disease","Peripheral arterial disease"
"G73y7","Erythrocyanosis","Peripheral arterial disease","Peripheral arterial disease"
"G73yz","Other specified peripheral vascular disease NOS","Peripheral arterial disease","Peripheral arterial disease"
"G73z.","Peripheral vascular disease NOS","Peripheral arterial disease","Peripheral arterial disease"
"G73z0","Intermittent claudication","Peripheral arterial disease","Peripheral arterial disease"
"G73zz","Peripheral vascular disease NOS","Peripheral arterial disease","Peripheral arterial disease"
"G740.","Embolism and thrombosis of the abdominal aorta","Peripheral arterial disease","Peripheral arterial disease"
"G742z","Peripheral arterial embolism and thrombosis NOS","Peripheral arterial disease","Peripheral arterial disease"
"M2710","Ischaemic ulcer diabetic foot","Peripheral arterial disease","Peripheral arterial disease"
"M2713","Arterial leg ulcer","Peripheral arterial disease","Peripheral arterial disease"
"M2714","Mixed venous and arterial leg ulcer","Peripheral arterial disease","Peripheral arterial disease"
"R0542","[D]Gangrene of toe in diabetic","Peripheral arterial disease","Peripheral arterial disease"
"G7424","Embolism and thrombosis of the femoral artery","Peripheral arterial disease","Peripheral arterial disease"
"G7425","Embolism and thrombosis of the popliteal artery","Peripheral arterial disease","Peripheral arterial disease"
"G74y0","Embolism and/or thrombosis of the common iliac artery","Peripheral arterial disease","Peripheral arterial disease"
"G74y1","Embolism and/or thrombosis of the internal iliac artery","Peripheral arterial disease","Peripheral arterial disease"
"7A102","Axillo-bifemoral bypass graft","Peripheral arterial disease","Peripheral arterial disease"
"7A121","Bypass of bifurcation of aorta by anastomosis of aorta to femoral artery NEC","Peripheral arterial disease","Peripheral arterial disease"
