"Code","Description","Condition","Sub-condition"
"B6300","Malignant plasma cell neoplasm, extramedullary plasmacytoma","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms"
"B6301","Solitary myeloma","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms"
"B6302","Plasmacytoma NOS","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms"
"B6303","Lambda light chain myeloma","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms"
"B630.","Multiple myeloma","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms"
"B63..","Multiple myeloma and immunoproliferative neoplasms","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms"
"B936.","Neoplasm of uncertain behaviour of plasma cells","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms"
"BBmK.","[M]Waldenstrom's macroglobulinaemia","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms"
"BBn0.","[M]Plasma cell myeloma","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms"
"BBn2.","[M]Plasmacytoma NOS","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms"
"C3330","Waldenstrom's macroglobulinaemia","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms"
