"Code","Description","Condition","Sub-condition"
"B130.","Malignant neoplasm of hepatic flexure of colon","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B131.","Malignant neoplasm of transverse colon","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B132.","Malignant neoplasm of descending colon","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B133.","Malignant neoplasm of sigmoid colon","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B134.","Malignant neoplasm of caecum","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B135.","Malignant neoplasm of appendix","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B136.","Malignant neoplasm of ascending colon","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B137.","Malignant neoplasm of splenic flexure of colon","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B13..","Malignant neoplasm of colon","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B13z.","Malignant neoplasm of colon NOS","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B140.","Malignant neoplasm of rectosigmoid junction","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B141.","Malignant neoplasm of rectum","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B142.","Malignant neoplasm of anal canal","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B143.","Malignant neoplasm of anus unspecified","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B14..","Malignant neoplasm of rectum, rectosigmoid junction and anus","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B14z.","Malignant neoplasm of rectum, rectosigmoid junction and anus NOS","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"B1z0.","Malignant neoplasm of intestinal tract, part unspecified","Solid organ malignancies","Primary Malignancy_colorectal and anus"
"ZV100","[V]Personal history of malignant neoplasm of gastrointestinal tract","Solid organ malignancies","Primary Malignancy_colorectal and anus"
