"Code","Description","Condition","Sub-condition"
"B3400","Malignant neoplasm of nipple of female breast","Solid organ malignancies","Primary Malignancy_Breast"
"B3401","Malignant neoplasm of areola of female breast","Solid organ malignancies","Primary Malignancy_Breast"
"B340.","Malignant neoplasm of nipple and areola of female breast","Solid organ malignancies","Primary Malignancy_Breast"
"B341.","Malignant neoplasm of central part of female breast","Solid organ malignancies","Primary Malignancy_Breast"
"B342.","Malignant neoplasm of upper-inner quadrant of female breast","Solid organ malignancies","Primary Malignancy_Breast"
"B343.","Malignant neoplasm of lower-inner quadrant of female breast","Solid organ malignancies","Primary Malignancy_Breast"
"B344.","Malignant neoplasm of upper-outer quadrant of female breast","Solid organ malignancies","Primary Malignancy_Breast"
"B345.","Malignant neoplasm of lower-outer quadrant of female breast","Solid organ malignancies","Primary Malignancy_Breast"
"B346.","Malignant neoplasm of axillary tail of female breast","Solid organ malignancies","Primary Malignancy_Breast"
"B347.","Malignant neoplasm, overlapping lesion of breast","Solid organ malignancies","Primary Malignancy_Breast"
"B34..","Malignant neoplasm of female breast","Solid organ malignancies","Primary Malignancy_Breast"
"B34y.","Malignant neoplasm of other site of female breast","Solid organ malignancies","Primary Malignancy_Breast"
"B34yz","Malignant neoplasm of other site of female breast NOS","Solid organ malignancies","Primary Malignancy_Breast"
"B34z.","Malignant neoplasm of female breast NOS","Solid organ malignancies","Primary Malignancy_Breast"
"B35..","Malignant neoplasm of male breast","Solid organ malignancies","Primary Malignancy_Breast"
"B36..","Local recurrence of malignant tumour of breast","Solid organ malignancies","Primary Malignancy_Breast"
"B8300","Lobular carcinoma in situ of breast","Solid organ malignancies","Primary Malignancy_Breast"
"B8301","Intraductal carcinoma in situ of breast","Solid organ malignancies","Primary Malignancy_Breast"
"B830.","Carcinoma in situ of breast","Solid organ malignancies","Primary Malignancy_Breast"
"BB91.","[M]Infiltrating duct carcinoma","Solid organ malignancies","Primary Malignancy_Breast"
"BB910","[M]Intraductal papillary adenocarcinoma with invasion","Solid organ malignancies","Primary Malignancy_Breast"
"BB911","[M]Infiltrating duct and lobular carcinoma","Solid organ malignancies","Primary Malignancy_Breast"
"BB94.","[M]Juvenile breast carcinoma","Solid organ malignancies","Primary Malignancy_Breast"
"BB9J.","[M]Paget's disease, mammary","Solid organ malignancies","Primary Malignancy_Breast"
"BB9K0","[M]Paget's disease and intraductal carcinoma of breast","Solid organ malignancies","Primary Malignancy_Breast"
"BB9K.","[M]Paget's disease and infiltrating breast duct carcinoma","Solid organ malignancies","Primary Malignancy_Breast"
"Byu6.","[X]Malignant neoplasm of breast","Solid organ malignancies","Primary Malignancy_Breast"
"ByuFG","[X]Other carcinoma in situ of breast","Solid organ malignancies","Primary Malignancy_Breast"
"ZV103","[V]Personal history of malignant neoplasm of breast","Solid organ malignancies","Primary Malignancy_Breast"
