"Code","Description","Condition","Sub-condition"
"B220z","Malignant neoplasm of trachea NOS","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B2211","Malignant neoplasm of hilus of lung","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B221.","Malignant neoplasm of main bronchus","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B221z","Malignant neoplasm of main bronchus NOS","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B2220","Malignant neoplasm of upper lobe bronchus","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B2221","Malignant neoplasm of upper lobe of lung","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B222.","Malignant neoplasm of upper lobe, bronchus or lung","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B222z","Malignant neoplasm of upper lobe, bronchus or lung NOS","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B2231","Malignant neoplasm of middle lobe of lung","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B223.","Malignant neoplasm of middle lobe, bronchus or lung","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B223z","Malignant neoplasm of middle lobe, bronchus or lung NOS","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B2241","Malignant neoplasm of lower lobe of lung","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B224.","Malignant neoplasm of lower lobe, bronchus or lung","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B224z","Malignant neoplasm of lower lobe, bronchus or lung NOS","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B22..","Malignant neoplasm of trachea, bronchus and lung","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B22y.","Malignant neoplasm of other sites of bronchus or lung","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"B22z.","Malignant neoplasm of bronchus or lung NOS","Solid organ malignancies","Primary Malignancy_Lung and trachea"
"ZV101","[V]Personal history of malignant neoplasm of trachea, bronchus or lung","Solid organ malignancies","Primary Malignancy_Lung and trachea"
