"Code","Description","Condition","Sub-condition"
"14250","H/O Malignant melanoma","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"4M3..","Breslow depth staging for melanoma","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"4M71.","Clark melanoma level 2","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"7G03J","Excision of melanoma","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B320.","Malignant melanoma of lip","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B321.","Malignant melanoma of eyelid including canthus","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3220","Malignant melanoma of auricle (ear)","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B322.","Malignant melanoma of ear and external auricular canal","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3230","Malignant melanoma of external surface of cheek","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3232","Malignant melanoma of eyebrow","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3233","Malignant melanoma of forehead","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3235","Malignant melanoma of temple","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B323z","Malignant melanoma of face NOS","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3240","Malignant melanoma of scalp","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3241","Malignant melanoma of neck","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3251","Malignant melanoma of breast","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3253","Malignant melanoma of groin","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3257","Malignant melanoma of back","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3258","Malignant melanoma of chest wall","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B325.","Malignant melanoma of trunk (excluding scrotum)","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B325z","Malignant melanoma of trunk, excluding scrotum, NOS","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3260","Malignant melanoma of shoulder","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3261","Malignant melanoma of upper arm","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3262","Malignant melanoma of fore-arm","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3263","Malignant melanoma of hand","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3265","Malignant melanoma of thumb","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B326.","Malignant melanoma of upper limb and shoulder","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B326z","Malignant melanoma of upper limb or shoulder NOS","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3271","Malignant melanoma of thigh","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3274","Malignant melanoma of lower leg","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3275","Malignant melanoma of ankle","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B3277","Malignant melanoma of foot","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B327.","Malignant melanoma of lower limb and hip","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B327z","Malignant melanoma of lower limb or hip NOS","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B32..","Malignant melanoma of skin","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B32y.","Malignant melanoma of other specified skin site","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"B32z.","Malignant melanoma of skin NOS","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"BBE11","[M]Desmoplastic melanoma, malignant","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"BBE1.","[M]Malignant melanoma NOS","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"BBE2.","[M]Nodular melanoma","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"BBEA.","[M]Amelanotic melanoma","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"BBEF.","[M]Hutchinson's melanotic freckle","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"BBEG0","[M]Acral lentiginous melanoma, malignant","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"BBEG.","[M]Malignant melanoma in Hutchinson's melanotic freckle","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"BBEH.","[M]Superficial spreading melanoma","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"BBEP.","[M]Epithelioid cell melanoma","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"Byu40","[X]Malignant melanoma of other and unspecified parts of face","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
"Byu41","[X]Malignant melanoma of skin, unspecified","Solid organ malignancies","Primary Malignancy_Malignant Melanoma"
