"Code","Description","Condition","Sub-condition"
"B007.","Malignant neoplasm of lip, unspecified","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B00..","Malignant neoplasm of lip","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B010.","Malignant neoplasm of base of tongue","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B01..","Malignant neoplasm of tongue","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B01z.","Malignant neoplasm of tongue NOS","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B020.","Malignant neoplasm of parotid gland","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B022.","Malignant neoplasm of sublingual gland","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B02..","Malignant neoplasm of major salivary glands","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B040.","Malignant neoplasm of anterior portion of floor of mouth","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B04..","Malignant neoplasm of floor of mouth","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B04z.","Malignant neoplasm of floor of mouth NOS","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B053.","Malignant neoplasm of soft palate","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B054.","Malignant neoplasm of uvula","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B05..","Malignant neoplasm of other and unspecified parts of mouth","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B05y.","Malignant neoplasm of other specified mouth parts","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B05z.","Malignant neoplasm of mouth NOS","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B060.","Malignant neoplasm of tonsil","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B060z","Malignant neoplasm tonsil NOS","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B061.","Malignant neoplasm of tonsillar fossa","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B063.","Malignant neoplasm of vallecula","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B064z","Malignant neoplasm of anterior epiglottis NOS","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B06..","Malignant neoplasm of oropharynx","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B06y.","Malignant neoplasm of oropharynx, other specified sites","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B06z.","Malignant neoplasm of oropharynx NOS","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B0710","Malignant neoplasm of adenoid","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B07..","Malignant neoplasm of nasopharynx","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B07z.","Malignant neoplasm of nasopharynx NOS","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B083.","Malignant neoplasm of posterior pharynx","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B08..","Malignant neoplasm of hypopharynx","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B0...","Malignant neoplasm of lip, oral cavity and pharynx","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B0z0.","Malignant neoplasm of pharynx unspecified","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B0z2.","Malignant neoplasm of laryngopharynx","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"B0zz.","Malignant neoplasm of lip, oral cavity and pharynx NOS","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"BB5y0","[M]Basal cell adenocarcinoma","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"Byu0.","[X]Malignant neoplasm of lip, oral cavity and pharynx","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"ZV100","[V]Personal history of malignant neoplasm of gastrointestinal tract","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"ZV10y","[V]Personal history of other specified malignant neoplasm","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
