"Code","Description","Condition","Sub-condition"
"B120.","Malignant neoplasm of duodenum","Solid organ malignancies","Primary Malignancy_Other Organs"
"B121.","Malignant neoplasm of jejunum","Solid organ malignancies","Primary Malignancy_Other Organs"
"B122.","Malignant neoplasm of ileum","Solid organ malignancies","Primary Malignancy_Other Organs"
"B12..","Malignant neoplasm of small intestine and duodenum","Solid organ malignancies","Primary Malignancy_Other Organs"
"B12z.","Malignant neoplasm of small intestine NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B15..","Malignant neoplasm of liver and intrahepatic bile ducts","Solid organ malignancies","Primary Malignancy_Other Organs"
"B160.","Malignant neoplasm of gallbladder","Solid organ malignancies","Primary Malignancy_Other Organs"
"B16z.","Malignant neoplasm of gallbladder and extrahepatic bile ducts NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B180.","Malignant neoplasm of retroperitoneum","Solid organ malignancies","Primary Malignancy_Other Organs"
"B18..","Malignant neoplasm of retroperitoneum and peritoneum","Solid organ malignancies","Primary Malignancy_Other Organs"
"B18y3","Malignant neoplasm of omentum","Solid organ malignancies","Primary Malignancy_Other Organs"
"B18y.","Malignant neoplasm of specified parts of peritoneum","Solid organ malignancies","Primary Malignancy_Other Organs"
"B18yz","Malignant neoplasm of specified parts of peritoneum NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B18z.","Malignant neoplasm of retroperitoneum and peritoneum NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B1z0.","Malignant neoplasm of intestinal tract, part unspecified","Solid organ malignancies","Primary Malignancy_Other Organs"
"B200z","Malignant neoplasm of nasal cavities NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B202.","Malignant neoplasm of maxillary sinus","Solid organ malignancies","Primary Malignancy_Other Organs"
"B20y.","Malignant neoplasm of other sites of nasal cavity, middle ear and accessory sinuses","Solid organ malignancies","Primary Malignancy_Other Organs"
"B210.","Malignant neoplasm of glottis","Solid organ malignancies","Primary Malignancy_Other Organs"
"B211.","Malignant neoplasm of supraglottis","Solid organ malignancies","Primary Malignancy_Other Organs"
"B2133","Malignant neoplasm of thyroid cartilage","Solid organ malignancies","Primary Malignancy_Other Organs"
"B213.","Malignant neoplasm of laryngeal cartilage","Solid organ malignancies","Primary Malignancy_Other Organs"
"B215.","Malignant neoplasm of epiglottis NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B21..","Malignant neoplasm of larynx","Solid organ malignancies","Primary Malignancy_Other Organs"
"B21y.","Malignant neoplasm of larynx, other specified site","Solid organ malignancies","Primary Malignancy_Other Organs"
"B21z.","Malignant neoplasm of larynx NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B23..","Malignant neoplasm of pleura","Solid organ malignancies","Primary Malignancy_Other Organs"
"B240.","Malignant neoplasm of thymus","Solid organ malignancies","Primary Malignancy_Other Organs"
"B3102","Malignant neoplasm of soft tissue of neck","Solid organ malignancies","Primary Malignancy_Other Organs"
"B3103","Malignant neoplasm of cartilage of ear","Solid organ malignancies","Primary Malignancy_Other Organs"
"B3110","Malignant neoplasm of connective and soft tissue of shoulder","Solid organ malignancies","Primary Malignancy_Other Organs"
"B311.","Malignant neoplasm of connective and soft tissue of upper limb and shoulder","Solid organ malignancies","Primary Malignancy_Other Organs"
"B3121","Malignant neoplasm of connective and soft tissue of thigh and upper leg","Solid organ malignancies","Primary Malignancy_Other Organs"
"B312.","Malignant neoplasm of connective and soft tissue of hip and lower limb","Solid organ malignancies","Primary Malignancy_Other Organs"
"B312z","Malignant neoplasm of connective and soft tissue of hip and lower limb NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B3133","Malignant neoplasm of connective and soft tissues of thoracic spine","Solid organ malignancies","Primary Malignancy_Other Organs"
"B3141","Malignant neoplasm of connective and soft tissues of lumbar spine","Solid organ malignancies","Primary Malignancy_Other Organs"
"B3150","Malignant neoplasm of connective and soft tissue of buttock","Solid organ malignancies","Primary Malignancy_Other Organs"
"B315z","Malignant neoplasm of connective and soft tissue of pelvis NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B31z.","Malignant neoplasm of connective and soft tissue, site NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B420.","Choriocarcinoma","Solid organ malignancies","Primary Malignancy_Other Organs"
"B441.","Malignant neoplasm of fallopian tube","Solid organ malignancies","Primary Malignancy_Other Organs"
"B44..","Malignant neoplasm of ovary and other uterine adnexa","Solid organ malignancies","Primary Malignancy_Other Organs"
"B450.","Malignant neoplasm of vagina","Solid organ malignancies","Primary Malignancy_Other Organs"
"B451.","Malignant neoplasm of labia majora","Solid organ malignancies","Primary Malignancy_Other Organs"
"B454.","Malignant neoplasm of vulva unspecified","Solid organ malignancies","Primary Malignancy_Other Organs"
"B45..","Malignant neoplasm of other and unspecified female genital organs","Solid organ malignancies","Primary Malignancy_Other Organs"
"B45z.","Malignant neoplasm of female genital organ NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B481.","Malignant neoplasm of glans penis","Solid organ malignancies","Primary Malignancy_Other Organs"
"B483.","Malignant neoplasm of penis, part unspecified","Solid organ malignancies","Primary Malignancy_Other Organs"
"B4A..","Malignant neoplasm of kidney and other unspecified urinary organs","Solid organ malignancies","Primary Malignancy_Other Organs"
"B4Az.","Malignant neoplasm of kidney or urinary organs NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B5000","Malignant neoplasm of ciliary body","Solid organ malignancies","Primary Malignancy_Other Organs"
"B5001","Malignant neoplasm of iris","Solid organ malignancies","Primary Malignancy_Other Organs"
"B501.","Malignant neoplasm of orbit","Solid organ malignancies","Primary Malignancy_Other Organs"
"B506.","Malignant neoplasm of choroid","Solid organ malignancies","Primary Malignancy_Other Organs"
"B50..","Malignant neoplasm of eye","Solid organ malignancies","Primary Malignancy_Other Organs"
"B50z.","Malignant neoplasm of eye NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B52z.","Malignant neoplasm of nervous system NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B5400","Malignant neoplasm of adrenal cortex","Solid organ malignancies","Primary Malignancy_Other Organs"
"B540.","Malignant neoplasm of adrenal gland","Solid organ malignancies","Primary Malignancy_Other Organs"
"B540z","Malignant neoplasm of adrenal gland NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B5500","Malignant neoplasm of head NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B5501","Malignant neoplasm of cheek NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B5504","Malignant neoplasm of neck NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B550.","Malignant neoplasm of head, neck and face","Solid organ malignancies","Primary Malignancy_Other Organs"
"B5510","Malignant neoplasm of axilla NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B552.","Malignant neoplasm of abdomen","Solid organ malignancies","Primary Malignancy_Other Organs"
"B555.","Malignant neoplasm of lower limb NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B55y0","Malignant neoplasm of back NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B55y.","Malignant neoplasm of other specified sites","Solid organ malignancies","Primary Malignancy_Other Organs"
"B55yz","Malignant neoplasm of specified site NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B55z.","Malignant neoplasm of other and ill defined site NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B591.","Other malignant neoplasm NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B593.","Primary malignant neoplasm of unknown site","Solid organ malignancies","Primary Malignancy_Other Organs"
"B595.","Malignant tumour of unknown origin","Solid organ malignancies","Primary Malignancy_Other Organs"
"B5...","Malignant neoplasm of other and unspecified sites","Solid organ malignancies","Primary Malignancy_Other Organs"
"B5y..","Malignant neoplasm of other and unspecified site otherwise specified","Solid organ malignancies","Primary Malignancy_Other Organs"
"B5z..","Malignant neoplasm of other and unspecified site NOS","Solid organ malignancies","Primary Malignancy_Other Organs"
"B625.","Letterer-Siwe disease","Solid organ malignancies","Primary Malignancy_Other Organs"
"B6z0.","Kaposi's sarcoma of lymph nodes","Solid organ malignancies","Primary Malignancy_Other Organs"
"BB57.","[M]Adenocarcinoma, intestinal type","Solid organ malignancies","Primary Malignancy_Other Organs"
"BBcC.","[M]Aesthesioneuroblastoma","Solid organ malignancies","Primary Malignancy_Other Organs"
"BBT1.","[M]Haemangiosarcoma","Solid organ malignancies","Primary Malignancy_Other Organs"
"Byu57","[X]Malignant neoplasm of peritoneum, unspecified","Solid organ malignancies","Primary Malignancy_Other Organs"
