"Code","Description","Condition","Sub-condition"
"14270","H/O: prostate cancer","Solid organ malignancies","Primary Malignancy_Prostate"
"4M00.","Gleason prostate grade 2-4 (low)","Solid organ malignancies","Primary Malignancy_Prostate"
"4M01.","Gleason prostate grade 5-7 (medium)","Solid organ malignancies","Primary Malignancy_Prostate"
"4M02.","Gleason prostate grade 8-10 (high)","Solid organ malignancies","Primary Malignancy_Prostate"
"4M0..","Gleason grading of prostate cancer","Solid organ malignancies","Primary Malignancy_Prostate"
"7B200","Radical cystoprostatourethrectomy","Solid organ malignancies","Primary Malignancy_Prostate"
"7B202","Radical cystoprostatectomy","Solid organ malignancies","Primary Malignancy_Prostate"
"7B360","Radical prostatectomy - unspecified excision of pelvic nodes","Solid organ malignancies","Primary Malignancy_Prostate"
"7B365","Radical prostatectomy without pelvic node excision","Solid organ malignancies","Primary Malignancy_Prostate"
"7B366","Radical prostatectomy with pelvic node sampling","Solid organ malignancies","Primary Malignancy_Prostate"
"7B367","Radical prostatectomy with pelvic lymphadenectomy","Solid organ malignancies","Primary Malignancy_Prostate"
"B46..","Malignant neoplasm of prostate","Solid organ malignancies","Primary Malignancy_Prostate"
"ZV104","[V]Personal history of malignant neoplasm of genital organ","Solid organ malignancies","Primary Malignancy_Prostate"
