"Code","Description","Condition","Sub-condition"
"7G056","Excision biopsy of rodent ulcer","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"7G05D","Excision biopsy of basal cell carcinoma","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B330.","Malignant neoplasm of skin of lip","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3310","Malignant neoplasm of canthus","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B331.","Malignant neoplasm of eyelid including canthus","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3320","Malignant neoplasm of skin of auricle (ear)","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3322","Malignant neoplasm of pinna NEC","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B332.","Malignant neoplasm of skin of ear and external auricular canal","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3330","Malignant neoplasm of skin of cheek, external","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3331","Malignant neoplasm of skin of chin","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3332","Malignant neoplasm of skin of eyebrow","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3333","Malignant neoplasm of skin of forehead","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3334","Malignant neoplasm of skin of nose (external)","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3335","Malignant neoplasm of skin of temple","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B333.","Malignant neoplasm of skin of other and unspecified parts of face","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B333z","Malignant neoplasm of skin of other and unspecified part of face NOS","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3340","Malignant neoplasm of scalp","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3341","Malignant neoplasm of skin of neck","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B334.","Malignant neoplasm of scalp and skin of neck","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3351","Malignant neoplasm of skin of chest, excluding breast","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3352","Malignant neoplasm of skin of breast","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3353","Malignant neoplasm of skin of abdominal wall","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3357","Malignant neoplasm of skin of back","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3359","Malignant neoplasm of perianal skin","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B335.","Malignant neoplasm of skin of trunk, excluding scrotum","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3360","Malignant neoplasm of skin of shoulder","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3362","Malignant neoplasm of skin of fore-arm","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B336.","Malignant neoplasm of skin of upper limb and shoulder","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3371","Malignant neoplasm of skin of thigh","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3374","Malignant neoplasm of skin of lower leg","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B3379","Malignant neoplasm of skin of great toe","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B337z","Malignant neoplasm of skin of lower limb or hip NOS","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B338.","Squamous cell carcinoma of skin","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B339.","Dermatofibrosarcoma protuberans","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B33..","Other malignant neoplasm of skin","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B33y.","Malignant neoplasm of other specified skin sites","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"B33z.","Malignant neoplasm of skin NOS","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"BB2A.","[M]Squamous cell carcinoma NOS","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"BB30.","[M]Basal cell tumour","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"BB31.","[M]Basal cell carcinoma NOS","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"BB32.","[M]Multicentric basal cell carcinoma","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"BB33.","[M]Basal cell carcinoma, morphoea type","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"BB34.","[M]Basal cell carcinoma, fibroepithelial type","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"BB35.","[M]Basosquamous carcinoma","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"BB3..","[M]Basal cell neoplasms","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"BB3C.","[M]Superficial basal cell carcinoma","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"BB3D.","[M]Basal cell carcinoma, nodular","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"BB3z.","[M]Basal cell neoplasm NOS","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
"Byu42","[X]other malignant neoplasm of skin of other and unspecified parts of face","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue"
