"Code","Description","Condition","Sub-condition"
"14F2.","H/O: psoriasis","Psoriasis","Psoriasis"
"M1600","Psoriasis spondylitica","Psoriasis","Psoriasis"
"M1601","Distal interphalangeal psoriatic arthropathy","Psoriasis","Psoriasis"
"M1602","Arthritis mutilans","Psoriasis","Psoriasis"
"M160.","Psoriatic arthropathy","Psoriasis","Psoriasis"
"M160z","Psoriatic arthropathy NOS","Psoriasis","Psoriasis"
"M1610","Psoriasis unspecified","Psoriasis","Psoriasis"
"M1614","Psoriasis discoidea","Psoriasis","Psoriasis"
"M1616","Guttate psoriasis","Psoriasis","Psoriasis"
"M1619","Psoriasis ostracea","Psoriasis","Psoriasis"
"M161A","Psoriasis palmaris","Psoriasis","Psoriasis"
"M161B","Psoriasis plantaris","Psoriasis","Psoriasis"
"M161D","Pustular psoriasis","Psoriasis","Psoriasis"
"M161F","Psoriasis vulgaris","Psoriasis","Psoriasis"
"M161H","Erythrodermic psoriasis","Psoriasis","Psoriasis"
"M161J","Flexural psoriasis","Psoriasis","Psoriasis"
"M161.","Other psoriasis","Psoriasis","Psoriasis"
"M161z","Psoriasis NOS","Psoriasis","Psoriasis"
"M166.","Palmoplantar pustular psoriasis","Psoriasis","Psoriasis"
"M16..","Psoriasis and similar disorders","Psoriasis","Psoriasis"
"M16y0","Scalp psoriasis","Psoriasis","Psoriasis"
"M16y.","Other psoriasis and similar disorders","Psoriasis","Psoriasis"
"M16z.","Psoriasis and similar disorders NOS","Psoriasis","Psoriasis"
"Myu30","[X]Other psoriasis","Psoriasis","Psoriasis"
"N0452","Juvenile arthritis in psoriasis","Psoriasis","Psoriasis"
"Nyu13","[X]Other psoriatic arthropathies","Psoriasis","Psoriasis"
