"Code","Description","Condition","Sub-condition"
"1464.","H/O: schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"146H.","H/O: psychosis","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"212W.","Schizophrenia resolved","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1000","Unspecified schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1002","Chronic schizophrenic","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1004","Acute exacerbation of chronic schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1005","Schizophrenia in remission","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E100.","Simple schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1015","Hebephrenic schizophrenia in remission","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E101.","Hebephrenic schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1032","Chronic paranoid schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1035","Paranoid schizophrenia in remission","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E103.","Paranoid schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E103z","Paranoid schizophrenia NOS","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E106.","Residual schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1070","Unspecified schizo-affective schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1072","Chronic schizo-affective schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1075","Schizo-affective schizophrenia in remission","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E107.","Schizo-affective schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E107z","Schizo-affective schizophrenia NOS","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E10..","Schizophrenic disorders","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E10y.","Other schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E10yz","Other schizophrenia NOS","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
