"Code","Description","Condition","Sub-condition"
"1D18.","Pain from metastases","Solid organ malignancies","Secondary Malignancy_Other organs"
"B57..","Secondary malignant neoplasm of respiratory and digestive systems","Solid organ malignancies","Secondary Malignancy_Other organs"
"B57y.","Secondary malignant neoplasm of other digestive organ","Solid organ malignancies","Secondary Malignancy_Other organs"
"B580.","Secondary malignant neoplasm of kidney","Solid organ malignancies","Secondary Malignancy_Other organs"
"B5822","Secondary malignant neoplasm of skin of neck","Solid organ malignancies","Secondary Malignancy_Other organs"
"B582.","Secondary malignant neoplasm of skin","Solid organ malignancies","Secondary Malignancy_Other organs"
"B58..","Secondary malignant neoplasm of other specified sites","Solid organ malignancies","Secondary Malignancy_Other organs"
"B58y0","Secondary malignant neoplasm of breast","Solid organ malignancies","Secondary Malignancy_Other organs"
"B58y1","Secondary malignant neoplasm of uterus","Solid organ malignancies","Secondary Malignancy_Other organs"
"B58y4","Secondary malignant neoplasm of vulva","Solid organ malignancies","Secondary Malignancy_Other organs"
"B58y5","Secondary malignant neoplasm of prostate","Solid organ malignancies","Secondary Malignancy_Other organs"
"B58y.","Secondary malignant neoplasm of other specified sites","Solid organ malignancies","Secondary Malignancy_Other organs"
"B58yz","Secondary malignant neoplasm of other specified site NOS","Solid organ malignancies","Secondary Malignancy_Other organs"
"B58z.","Secondary malignant neoplasm of other specified site NOS","Solid organ malignancies","Secondary Malignancy_Other organs"
"B590.","Disseminated malignancy NOS","Solid organ malignancies","Secondary Malignancy_Other organs"
"B594.","Secondary malignant neoplasm of unknown site","Solid organ malignancies","Secondary Malignancy_Other organs"
"BB03.","[M]Neoplasm, metastatic","Solid organ malignancies","Secondary Malignancy_Other organs"
"BB13.","[M]Carcinoma, metastatic, NOS","Solid organ malignancies","Secondary Malignancy_Other organs"
"BB2B.","[M]Squamous cell carcinoma, metastatic NOS","Solid organ malignancies","Secondary Malignancy_Other organs"
"BB53.","[M]Adenocarcinoma, metastatic, NOS","Solid organ malignancies","Secondary Malignancy_Other organs"
"BB851","[M]Metastatic signet ring cell carcinoma","Solid organ malignancies","Secondary Malignancy_Other organs"
"ByuC3","[X]Secondary malignant neoplasm of other and unspecified respiratory organs","Solid organ malignancies","Secondary Malignancy_Other organs"
"ByuC4","[X]Secondary malignant neoplasm of other and unspecified digestive organs","Solid organ malignancies","Secondary Malignancy_Other organs"
"ByuC7","[X]Secondary malignant neoplasm of other specified sites","Solid organ malignancies","Secondary Malignancy_Other organs"
