"Code","Description","Condition","Sub-condition"
"N1301","Degenerative cervical spinal stenosis","Spinal stenosis","Spinal stenosis"
"N130.","Cervical spinal stenosis","Spinal stenosis","Spinal stenosis"
"N1400","Spinal stenosis of unspecified region","Spinal stenosis","Spinal stenosis"
"N1401","Thoracic spinal stenosis","Spinal stenosis","Spinal stenosis"
"N1402","Lumbar spinal stenosis","Spinal stenosis","Spinal stenosis"
"N1408","Degenerative lumbar spinal stenosis","Spinal stenosis","Spinal stenosis"
"N140.","Spinal stenosis, excluding cervical region","Spinal stenosis","Spinal stenosis"
"N140z","Spinal stenosis NOS","Spinal stenosis","Spinal stenosis"
"Zw043","[Q] Central spinal stenosis","Spinal stenosis","Spinal stenosis"
"Zw044","[Q] Lateral spinal stenosis","Spinal stenosis","Spinal stenosis"
