"Code","Description","Condition","Sub-condition"
"G33z4","Ischaemic chest pain","Coronary heart disease","Stable angina"
"14A5.","H/O: angina pectoris","Coronary heart disease","Stable angina"
"14AJ.","H/O: Angina in last year","Coronary heart disease","Stable angina"
"662K.","Angina control","Coronary heart disease","Stable angina"
"662K0","Angina control - good","Coronary heart disease","Stable angina"
"662K1","Angina control - poor","Coronary heart disease","Stable angina"
"662K2","Angina control - improving","Coronary heart disease","Stable angina"
"662Kz","Angina control NOS","Coronary heart disease","Stable angina"
"8B27.","Antianginal therapy","Coronary heart disease","Stable angina"
"G33..","Angina pectoris","Coronary heart disease","Stable angina"
"G330.","Angina decubitus","Coronary heart disease","Stable angina"
"G3300","Nocturnal angina","Coronary heart disease","Stable angina"
"G33z.","Angina pectoris NOS","Coronary heart disease","Stable angina"
"G33z3","Angina on effort","Coronary heart disease","Stable angina"
"G33z6","New onset angina","Coronary heart disease","Stable angina"
"G33z7","Stable angina","Coronary heart disease","Stable angina"
"G33zz","Angina pectoris NOS","Coronary heart disease","Stable angina"
"Gyu30","[X]Other forms of angina pectoris","Coronary heart disease","Stable angina"
"7928.","Transluminal balloon angioplasty of coronary artery","Coronary heart disease","Stable angina"
"79280","Percutaneous transluminal balloon angioplasty of one coronary artery","Coronary heart disease","Stable angina"
"79281","Percutaneous transluminal balloon angioplasty of multiple coronary arteries","Coronary heart disease","Stable angina"
"79282","Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery","Coronary heart disease","Stable angina"
"7928y","Other specified transluminal balloon angioplasty of coronary artery","Coronary heart disease","Stable angina"
"7928z","Transluminal balloon angioplasty of coronary artery NOS","Coronary heart disease","Stable angina"
"79290","Percutaneous transluminal laser coronary angioplasty","Coronary heart disease","Stable angina"
"79293","Rotary blade coronary angioplasty","Coronary heart disease","Stable angina"
"79294","Insertion of coronary artery stent","Coronary heart disease","Stable angina"
"79295","Insertion of drug-eluting coronary artery stent","Coronary heart disease","Stable angina"
"792B0","Endarterectomy of coronary artery NEC","Coronary heart disease","Stable angina"
"793G.","Percutaneous transluminal balloon angioplasty and stenting of coronary artery","Coronary heart disease","Stable angina"
"793G0","Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug eluting stents into coronary artery","Coronary heart disease","Stable angina"
"793G1","Percutaneous transluminal balloon angioplasty and insertion of 3 or more drug eluting stents into coronary artery","Coronary heart disease","Stable angina"
"793G2","Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery","Coronary heart disease","Stable angina"
"793Gz","Percutaneous transluminal balloon angioplasty and stenting of coronary artery NOS","Coronary heart disease","Stable angina"
"7A540","Percutaneous transluminal angioplasty of artery NEC","Coronary heart disease","Stable angina"
"7A545","Rotary blade angioplasty","Coronary heart disease","Stable angina"
"7A548","Percutaneous transluminal atherectomy","Coronary heart disease","Stable angina"
"7A564","Percutaneous transluminal balloon angioplasty of artery","Coronary heart disease","Stable angina"
"7A6G1","Peroperative angioplasty","Coronary heart disease","Stable angina"
"7A6H3","Prosthetic graft patch angioplasty","Coronary heart disease","Stable angina"
"792..","Coronary artery operations","Coronary heart disease","Stable angina"
"7920.","Saphenous vein graft replacement of coronary artery","Coronary heart disease","Stable angina"
"79200","Saphenous vein graft replacement of one coronary artery","Coronary heart disease","Stable angina"
"79201","Saphenous vein graft replacement of two coronary arteries","Coronary heart disease","Stable angina"
"79202","Saphenous vein graft replacement of three coronary arteries","Coronary heart disease","Stable angina"
"79203","Saphenous vein graft replacement of four or more coronary arteries","Coronary heart disease","Stable angina"
"7920y","Other specified saphenous vein graft replacement of coronary artery","Coronary heart disease","Stable angina"
"7920z","Saphenous vein graft replacement coronary artery NOS","Coronary heart disease","Stable angina"
"7921.","Other autograft replacement of coronary artery","Coronary heart disease","Stable angina"
"79212","Autograft replacement of three coronary arteries NEC","Coronary heart disease","Stable angina"
"7922.","Allograft replacement of coronary artery","Coronary heart disease","Stable angina"
"7923.","Prosthetic replacement of coronary artery","Coronary heart disease","Stable angina"
"79232","Prosthetic replacement of three coronary arteries","Coronary heart disease","Stable angina"
"79250","Double anastomosis of mammary arteries to coronary arteries","Coronary heart disease","Stable angina"
"79253","Single anastomosis of mammary artery to coronary artery NEC","Coronary heart disease","Stable angina"
"79254","Single implantation of mammary artery into coronary artery","Coronary heart disease","Stable angina"
"79275","Open angioplasty of coronary artery","Coronary heart disease","Stable angina"
"792Cy","Other specified replacement of coronary artery","Coronary heart disease","Stable angina"
"792D.","Other bypass of coronary artery","Coronary heart disease","Stable angina"
"792Dy","Other specified other bypass of coronary artery","Coronary heart disease","Stable angina"
"792Dz","Other bypass of coronary artery NOS","Coronary heart disease","Stable angina"
"SP076","Coronary artery bypass graft occlusion","Coronary heart disease","Stable angina"
"5543.","Coronary arteriograph.abnormal","Coronary heart disease","Stable angina"
"32131","Exercise ECG abnormal","Coronary heart disease","Stable angina"
"33B95","Exercise tolerance test abnormal","Coronary heart disease","Stable angina"
"322..","ECG: myocardial ischaemia","Coronary heart disease","Stable angina"
"3222.","ECG:shows myocardial ischaemia","Coronary heart disease","Stable angina"
"322Z.","ECG: myocardial ischaemia NOS","Coronary heart disease","Stable angina"
"32E4.","ECG: S-T depression","Coronary heart disease","Stable angina"
"32F2.","ECG: T wave abnormal","Coronary heart disease","Stable angina"
"32F4.","ECG: T wave inverted","Coronary heart disease","Stable angina"
