"Code","Description","Condition","Sub-condition"
"G600.","Ruptured berry aneurysm","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G601.","Subarachnoid haemorrhage from carotid siphon and bifurcation","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G602.","Subarachnoid haemorrhage from middle cerebral artery","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G603.","Subarachnoid haemorrhage from anterior communicating artery","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G604.","Subarachnoid haemorrhage from posterior communicating artery","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G605.","Subarachnoid haemorrhage from basilar artery","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G606.","Subarachnoid haemorrhage from vertebral artery","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G60..","Subarachnoid haemorrhage","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G60X.","Subarachnoid haemorrh from intracranial artery, unspecif","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G60z.","Subarachnoid haemorrhage NOS","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G680.","Sequelae of subarachnoid haemorrhage","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Gyu60","[X]Subarachnoid haemorrhage from other intracranial arteries","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Gyu61","[X]Other subarachnoid haemorrhage","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Gyu6E","[X]Subarachnoid haemorrh from intracranial artery, unspecif","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
