"Code","Description","Condition","Sub-condition"
"13c5.","Substance misuse increased","Other psychoactive substance misuse","Other psychoactive substance misuse"
"13c6.","Substance misuse decreased","Other psychoactive substance misuse","Other psychoactive substance misuse"
"13c7.","Current drug user","Other psychoactive substance misuse","Other psychoactive substance misuse"
"13cA.","Smokes drugs","Other psychoactive substance misuse","Other psychoactive substance misuse"
"13cB.","Misuses drugs orally","Other psychoactive substance misuse","Other psychoactive substance misuse"
"13cE.","Prolonged high dose use of cannabis","Other psychoactive substance misuse","Other psychoactive substance misuse"
"13cH.","Persistent substance misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"13cJ.","Previously injecting drug user","Other psychoactive substance misuse","Other psychoactive substance misuse"
"13cM.","Substance misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"13r3.","Abstinent from drug misuse on maintenance replacement","Other psychoactive substance misuse","Other psychoactive substance misuse"
"146F.","H/O: drug abuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1T0..","H/O heroin misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1T...","History of substance misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1T4..","H/O amphetamine misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1T5..","H/O cocaine misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1T6..","H/O crack cocaine misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1T80.","H/O daily cannabis misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1T8..","H/O cannabis misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1TD..","H/O opiate misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1TD3.","Previous history of opiate misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1V00.","Occasional drug user","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1V64.","Illicit drug use","Other psychoactive substance misuse","Other psychoactive substance misuse"
"1V65.","Heroin misuse","Other psychoactive substance misuse","Other psychoactive substance misuse"
"7P220","Delivery of rehabilitation for drug addiction","Other psychoactive substance misuse","Other psychoactive substance misuse"
"8AA..","Drug abuse monitoring","Other psychoactive substance misuse","Other psychoactive substance misuse"
"8B23.","Drug addiction therapy","Other psychoactive substance misuse","Other psychoactive substance misuse"
"8B2P.","Drug addiction maintenance therapy - methadone","Other psychoactive substance misuse","Other psychoactive substance misuse"
"8BA9.","Detoxification dependence drug","Other psychoactive substance misuse","Other psychoactive substance misuse"
"8BAd.","Opiate dependence detoxification","Other psychoactive substance misuse","Other psychoactive substance misuse"
"8H7x.","Referral to drug abuse counsellor","Other psychoactive substance misuse","Other psychoactive substance misuse"
"8Hh1.","Self referral to substance misuse service","Other psychoactive substance misuse","Other psychoactive substance misuse"
"9G24.","Drug addict-notify local SMR22","Other psychoactive substance misuse","Other psychoactive substance misuse"
"9G2..","Drug addiction notification","Other psychoactive substance misuse","Other psychoactive substance misuse"
"9HC0.","Initial substance misuse assessment","Other psychoactive substance misuse","Other psychoactive substance misuse"
"9HC1.","Follow up substance misuse assessment","Other psychoactive substance misuse","Other psychoactive substance misuse"
"9HC2.","Substance misuse clinical management plan agreed","Other psychoactive substance misuse","Other psychoactive substance misuse"
"9HC3.","Substance misuse clinical management plan reviewed","Other psychoactive substance misuse","Other psychoactive substance misuse"
"9HC..","Substance misuse monitoring","Other psychoactive substance misuse","Other psychoactive substance misuse"
