"Code","Description","Condition","Sub-condition"
"1431.","H/O: hyperthyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"1432.","H/O: hypothyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"1433.","H/O: thyroid disorder NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"212P.","Hyperthyroidism resolved","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"66B4.","Thyroid eye disease","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"66BB.","Hypothyroidism annual review","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"66BZ.","Thyroid disease monitoring NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"8CR5.","Hypothyroidism clinical management plan","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"9Oj0.","Hypothyroidism monitoring first letter","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"9Oj1.","Hypothyroidism monitoring second letter","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"9Oj2.","Hypothyroidism monitoring third letter","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"9Oj3.","Hypothyroidism monitoring verbal invite","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"9Oj4.","Hypothyroidism monitoring telephone invitation","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"9Oj..","Hypothyroidism monitoring administration","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C020.","Toxic diffuse goitre","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C020z","Toxic diffuse goitre NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C021.","Toxic uninodular goitre","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C0220","Toxic multinodular goitre with no crisis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C022.","Toxic multinodular goitre","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C022z","Toxic multinodular goitre NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C023z","Toxic nodular goitre NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C02..","Thyrotoxicosis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C02z0","Thyrotoxicosis without mention of goitre or other cause with no crisis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C02z1","Thyrotoxicosis without mention of goitre or other cause with crisis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C02z.","Thyrotoxicosis without mention of goitre or other cause","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C02zz","Thyrotoxicosis NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C040.","Postsurgical hypothyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C0410","Irradiation hypothyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C041z","Postablative hypothyroidism NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C043.","Other iatrogenic hypothyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C043z","Iatrogenic hypothyroidism NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C046.","Autoimmune myxoedema","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C04..","Acquired hypothyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C04y.","Other acquired hypothyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C04z.","Hypothyroidism NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C052.","Chronic lymphocytic thyroiditis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C05..","Thyroiditis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C05y.","Other and unspecified chronic thyroiditis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C05z.","Thyroiditis NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C1343","TSH - thyroid-stimulating hormone deficiency","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"F4G20","Thyrotoxic exophthalmos","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"FyuBD","[X]Dysthyroid exophthalmos","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
