"Code","Description","Condition","Sub-condition"
"14C4.","H/O: colitis","Inflammatory bowel disease","Ulcerative colitis"
"J4101","Ulcerative colitis","Inflammatory bowel disease","Ulcerative colitis"
"J4103","Ulcerative proctitis","Inflammatory bowel disease","Ulcerative colitis"
"J4104","Exacerbation of ulcerative colitis","Inflammatory bowel disease","Ulcerative colitis"
"J410.","Ulcerative proctocolitis","Inflammatory bowel disease","Ulcerative colitis"
"J410z","Ulcerative proctocolitis NOS","Inflammatory bowel disease","Ulcerative colitis"
"J411.","Ulcerative (chronic) enterocolitis","Inflammatory bowel disease","Ulcerative colitis"
"J413.","Ulcerative pancolitis","Inflammatory bowel disease","Ulcerative colitis"
"J41..","Idiopathic proctocolitis","Inflammatory bowel disease","Ulcerative colitis"
"J41yz","Other idiopathic proctocolitis NOS","Inflammatory bowel disease","Ulcerative colitis"
"J41z.","Idiopathic proctocolitis NOS","Inflammatory bowel disease","Ulcerative colitis"
"N0310","Arthropathy in ulcerative colitis","Inflammatory bowel disease","Ulcerative colitis"
