"Code","Description","Condition","Sub-condition"
"14C1.","H/O: peptic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"761D5","Endoscopic injection haemostasis of duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"761J0","Closure of perforated gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"761J.","Operations on gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"761Jy","Other specified operation on gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"76270","Closure of perforated duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"76271","Suture of duodenal ulcer not elsewhere classified","Peptic ulcer disease","Peptic ulcer disease"
"76272","Oversew of blood vessel of duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"7627.","Operations on duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"7627y","Other specified operation on duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J1101","Acute gastric ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J1102","Acute gastric ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J110.","Acute gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J110z","Acute gastric ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J1111","Chronic gastric ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J111.","Chronic gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J111y","Chronic gastric ulcer unspecified","Peptic ulcer disease","Peptic ulcer disease"
"J111z","Chronic gastric ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J113.","Non steroidal anti inflammatory drug induced gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J11..","Gastric ulcer - (GU)","Peptic ulcer disease","Peptic ulcer disease"
"J11y2","Unspecified gastric ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J11yy","Unspecified gastric ulcer with unspecified haemorrhage and/or perforation","Peptic ulcer disease","Peptic ulcer disease"
"J11yz","Unspecified gastric ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J11z.","Gastric ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J1200","Acute duodenal ulcer without mention of complication","Peptic ulcer disease","Peptic ulcer disease"
"J1201","Acute duodenal ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J1202","Acute duodenal ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J120.","Acute duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J120z","Acute duodenal ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J1210","Chronic duodenal ulcer without mention of complication","Peptic ulcer disease","Peptic ulcer disease"
"J1211","Chronic duodenal ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J1212","Chronic duodenal ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J121.","Chronic duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J121z","Chronic duodenal ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J122.","Duodenal ulcer disease","Peptic ulcer disease","Peptic ulcer disease"
"J124.","Recurrent duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J12..","Duodenal ulcer - (DU)","Peptic ulcer disease","Peptic ulcer disease"
"J12y0","Unspecified duodenal ulcer without mention of complication","Peptic ulcer disease","Peptic ulcer disease"
"J12y1","Unspecified duodenal ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J12y2","Unspecified duodenal ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J12y.","Unspecified duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J12yz","Unspecified duodenal ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J12z.","Duodenal ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J1302","Acute peptic ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J130.","Acute peptic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J130z","Acute peptic ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J131.","Chronic peptic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J131z","Chronic peptic ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J13..","Peptic ulcer - (PU) site unspecified","Peptic ulcer disease","Peptic ulcer disease"
"J13y2","Unspecified peptic ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J13y.","Unspecified peptic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J13yz","Unspecified peptic ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J13z.","Peptic ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J14..","Gastrojejunal ulcer (GJU)","Peptic ulcer disease","Peptic ulcer disease"
"J17y8","Healed gastric ulcer leaving a scar","Peptic ulcer disease","Peptic ulcer disease"
